game_date,home_team,away_team,winner
2024-07-20,Yankees,Rays,Rays
2024-07-20,Braves,Cardinals,Braves
2024-07-20,Blue Jays,Tigers,Tigers
2024-07-20,Marlins,Mets,Mets
2024-07-20,Pirates,Phillies,Pirates
2024-07-20,Nationals,Reds,Nationals
2024-07-20,Rangers,Orioles,Orioles
2024-07-20,Guardians,Padres,Padres
2024-07-20,Royals,White Sox,Royals
2024-07-20,Twins,Brewers,Brewers
2024-07-20,Cubs,D-backs,D-backs
2024-07-20,Dodgers,Red Sox,Dodgers
2024-07-20,Braves,Cardinals,Cardinals
2024-07-20,Rockies,Giants,Rockies
2024-07-20,Mariners,Astros,Astros
