full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Justin Verlander,317,88.87,2448.94,6.11,19,0,69.54,24.01,84.71,7.13,4
Kyle Hendricks,496,82.99,2068.93,5.54,23,0,70.42,22.41,79.2,7.25,6
Miles Mikolas,537,87.08,2248.28,6.23,26,0,70.88,19.34,85.02,7.13,6
Marcus Stroman,155,86.02,2458.9,5.8,5,0,71.6,12.6,80.66,7.41,2
Adrian Houser,458,89.65,2066.6,6.88,22,0,70.68,13.19,82.81,7.28,5
Colin Rea,509,89.41,2079.64,6.66,17,0,70.07,13.84,84.73,7.2,6
Lucas Giolito,528,89.31,2075.49,6.74,32,0,69.13,23.42,84.36,7.2,6
Antonio Senzatela,523,90.02,2304.81,5.98,15,0,68.27,15.93,85.62,6.92,6
Eric Lauer,456,87.05,2215.0,6.05,29,0,69.97,22.51,81.67,7.09,6
Zack Littell,500,87.67,1829.29,6.17,27,0,70.98,14.59,86.46,7.21,6
Michael Soroka,544,88.42,2612.16,6.11,42,0,69.73,19.88,83.07,7.23,6
Kris Bubic,468,87.65,2323.03,6.83,28,0,69.03,17.27,84.31,7.21,5
Bailey Falter,408,88.47,1946.81,7.19,15,0,69.17,21.34,85.39,6.95,6
Justin Hagenman,112,88.58,2242.88,6.28,6,0,73.66,12.88,89.69,7.98,2
Chris Paddack,511,88.56,2081.97,6.95,18,0,69.56,20.9,82.43,7.09,6
Andrew Abbott,568,87.94,2423.83,6.28,25,0,70.11,22.31,80.24,7.34,6
Spencer Strider,560,90.32,2308.01,6.99,44,0,68.76,16.39,85.8,7.32,6
Ben Casparius,349,89.8,2775.6,5.77,13,0,69.92,22.3,83.44,7.18,6
JP Sears,518,86.4,2015.31,6.41,27,0,70.7,25.95,82.97,7.21,6
Slade Cecconi,512,87.65,2371.62,6.56,30,0,70.25,22.12,84.76,7.33,6
Kumar Rocker,418,91.58,2189.19,6.75,25,0,69.82,17.21,84.16,7.28,5
Reese Olson,89,89.92,2259.85,6.15,3,0,68.52,19.71,86.58,7.36,1
Quinn Priester,526,90.23,2306.57,6.4,32,0,69.81,8.46,84.07,7.25,6
Bryan Woo,534,93.29,2271.89,6.5,41,0,69.53,21.03,82.0,6.87,6
