game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_mlbam_id,home_team_lookup_player_name,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,home_team_total_pitches,home_team_recent_home_runs,home_team_recent_strikeouts,home_team_HR,home_team_SO,home_team_PA,home_team_AVG,home_team_SLG,away_team_mlbam_id,away_team_lookup_player_name,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,away_team_total_pitches,away_team_recent_home_runs,away_team_recent_strikeouts,away_team_HR,away_team_SO,away_team_PA,away_team_AVG,away_team_SLG,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct,winner,actual_winner
2024-07-31,CUBS,REDS,KYLE HENDRICKS,NICK LODOLO,441.0,90.55,2322.28,6.14,27.0,0.0,68.76,17.46,82.84,7.18,5.0,380.0,83.6,2243.69,5.62,13.0,0.0,70.28,13.13,79.37,7.37,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUBS,CUBS
2024-07-31,PIRATES,ASTROS,JAKE WOODFORD,FRAMBER VALDEZ,473.0,87.7,2409.75,5.89,39.0,0.0,70.01,2.24,83.29,7.56,5.0,71.0,88.12,,6.42,3.0,0.0,70.99,22.12,83.76,7.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTROS,ASTROS
2024-07-31,DODGERS,PADRES,CLAYTON KERSHAW,DYLAN CEASE,605.0,91.68,2704.95,6.34,49.0,0.0,67.5,18.29,80.5,7.33,6.0,155.0,85.67,2289.45,6.35,6.0,0.0,69.25,19.88,82.23,7.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PADRES,PADRES
2024-07-31,ROCKIES,ANGELS,KYLE FREELAND,DAVIS DANIEL,234.0,86.22,2157.38,6.67,11.0,0.0,69.53,21.44,78.09,7.19,3.0,445.0,88.38,2303.86,6.63,32.0,0.0,71.25,17.34,84.69,7.47,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKIES,ROCKIES
2024-07-30,GUARDIANS,TIGERS,GAVIN WILLIAMS,TYLER HOLTON,284.0,87.2,2247.99,6.46,14.0,0.0,68.76,12.13,80.39,7.2,12.0,536.0,91.25,2315.79,7.18,31.0,0.0,68.1,21.57,83.61,6.86,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUARDIANS,GUARDIANS
2024-07-30,BLUE JAYS,ORIOLES,CHRIS BASSITT,CORBIN BURNES,487.0,89.81,2682.34,6.58,29.0,0.0,68.44,12.83,80.59,7.36,5.0,486.0,87.03,2163.63,6.42,23.0,0.0,69.78,22.28,81.05,6.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIOLES,ORIOLES
2024-07-30,YANKEES,PHILLIES,WILL WARREN,AARON NOLA,477.0,87.46,2353.53,6.89,31.0,0.0,69.96,18.93,82.31,7.49,5.0,97.0,89.17,2387.68,6.65,6.0,0.0,71.22,22.06,80.48,7.27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YANKEES,YANKEES
2024-07-30,MARLINS,RAYS,EDWARD CABRERA,JEFFREY SPRINGS,76.0,84.14,1859.55,6.37,3.0,0.0,67.69,22.83,81.0,6.96,1.0,395.0,92.24,2110.03,6.64,25.0,0.0,71.21,14.14,85.26,7.33,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAYS,RAYS
2024-07-30,TWINS,METS,DAVID FESTA,SEAN MANAEA,576.0,87.47,1986.55,7.14,36.0,0.0,69.57,20.38,81.73,7.06,6.0,222.0,90.63,2303.27,6.92,19.0,0.0,70.51,23.03,83.92,7.24,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METS,METS
2024-07-30,CUBS,REDS,JUSTIN STEELE,TONY SANTILLAN,98.0,93.97,2301.02,6.02,9.0,0.0,67.19,31.19,82.58,6.63,6.0,450.0,88.07,2454.77,6.3,28.0,0.0,69.97,19.45,81.42,7.11,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDS,REDS
