game_date,home_team,away_team,winner
2024-07-30,Tigers,Guardians,Guardians
2024-07-30,Orioles,Blue Jays,Orioles
2024-07-30,Phillies,Yankees,Yankees
2024-07-30,Rays,Marlins,Rays
2024-07-30,Red Sox,Mariners,Mariners
2024-07-30,Reds,Cubs,Reds
2024-07-30,Mets,Twins,Mets
2024-07-30,Cardinals,Rangers,Cardinals
2024-07-30,White Sox,Royals,Royals
2024-07-30,Astros,Pirates,Pirates
2024-07-30,Brewers,Braves,Braves
2024-07-30,Angels,Rockies,Angels
2024-07-30,D-backs,Nationals,D-backs
2024-07-30,Padres,Dodgers,Padres
