game_date,home_team,away_team,winner
2024-05-17,Cubs,Pirates,Pirates
2024-05-17,Phillies,Nationals,Phillies
2024-05-17,Orioles,Mariners,Orioles
2024-05-17,Yankees,White Sox,Yankees
2024-05-17,Blue Jays,Rays,Rays
2024-05-17,Guardians,Twins,Guardians
2024-05-17,Marlins,Mets,Marlins
2024-05-17,Braves,Padres,Padres
2024-05-17,Rangers,Angels,Angels
2024-05-17,Astros,Brewers,Astros
2024-05-17,Cardinals,Red Sox,Cardinals
2024-05-17,D-backs,Tigers,Tigers
2024-05-17,Dodgers,Reds,Dodgers
2024-05-17,Giants,Rockies,Giants
