game_date,away_team,home_team,away_pitcher,home_pitcher,winner,actual_winner,away_contact_hitting,away_effectiveness_workload,away_ground_ball_pitcher,away_high_strikeout_rate,away_losses,away_offensive_composite,away_offensive_efficiency,away_offensive_quality,away_pitcher_avg_bat_speed,away_pitcher_avg_exit_velocity,away_pitcher_avg_extension,away_pitcher_avg_launch_angle,away_pitcher_avg_spin_rate,away_pitcher_avg_swing_length,away_pitcher_avg_velocity,away_pitcher_effectiveness,away_pitcher_games_played,away_pitcher_quality,away_pitcher_strikeouts,away_pitcher_total_pitches,away_pitcher_whiffs,away_pitcher_workload,away_power_contact_ratio,away_power_hitting,away_premium_stuff,away_run_diff,away_runs_scored,away_streak,away_streak_numeric,away_streak_positive,away_strikeout_velocity,away_team_advantages,away_team_avg_bat_speed,away_team_avg_launch_speed,away_team_avg_swing_length,away_velocity_spin_interaction,away_win_pct,away_wins,batting_pitcher_matchup,clear_away_advantage,clear_away_pitcher_advantage,clear_home_advantage,clear_home_pitcher_advantage,close_pitcher_uncertainty,contact_hitting_matchup,effectiveness_workload_diff,even_matchup,even_pitcher_matchup,ground_ball_pitcher_diff,high_confidence_matchup,high_strikeout_rate_diff,high_workload_uncertainty,home_contact_hitting,home_effectiveness_workload,home_ground_ball_pitcher,home_high_strikeout_rate,home_losses,home_offensive_composite,home_offensive_efficiency,home_offensive_quality,home_pitcher_avg_bat_speed,home_pitcher_avg_exit_velocity,home_pitcher_avg_extension,home_pitcher_avg_launch_angle,home_pitcher_avg_spin_rate,home_pitcher_avg_swing_length,home_pitcher_avg_velocity,home_pitcher_effectiveness,home_pitcher_games_played,home_pitcher_quality,home_pitcher_strikeouts,home_pitcher_total_pitches,home_pitcher_whiffs,home_pitcher_workload,home_power_contact_ratio,home_power_hitting,home_premium_stuff,home_run_diff,home_runs_scored,home_streak,home_streak_numeric,home_streak_positive,home_strikeout_velocity,home_team_advantages,home_team_avg_bat_speed,home_team_avg_launch_speed,home_team_avg_swing_length,home_velocity_spin_interaction,home_win_pct,home_wins,low_confidence_matchup,low_sample_uncertainty,offensive_composite_diff,offensive_efficiency_diff,offensive_quality_diff,pitcher_bat_speed_diff,pitcher_effectiveness_diff,pitcher_exit_velocity_diff,pitcher_extension_diff,pitcher_launch_angle_diff,pitcher_quality_diff,pitcher_spin_rate_diff,pitcher_strikeout_diff,pitcher_velocity_diff,pitcher_workload_diff,power_contact_ratio_diff,power_hitting_matchup,premium_stuff_diff,runs_scored_diff,strikeout_velocity_diff,team_advantage_balance,team_bat_speed_advantage,team_bat_speed_diff,team_batting_avg_diff,team_bb_rate_diff,team_doubles_per_game_diff,team_hits_per_game_diff,team_hr_per_game_diff,team_iso_diff,team_k_rate_diff,team_launch_speed_advantage,team_launch_speed_diff,team_obp_diff,team_ops_diff,team_pitcher_alignment,team_rbi_per_game_diff,team_run_diff_diff,team_runs_per_game_diff,team_sb_success_rate_diff,team_slg_diff,team_swing_length_diff,team_total_bases_per_game_diff,team_triples_per_game_diff,team_win_pct_diff,velocity_spin_interaction_diff
2024-08-01,KCR,DET,SETH LUGO,KEIDER MONTERO,ROYALS,KCR,0,0.0005173773076670389,1,0,,0.34632733812949634,0.0,0,69.88,83.16,6.03,12.76,2577.85,7.14,87.59,0.04276985743380855,5.0,541.8622503120689,21.0,490.0,0.0,81.66666666666667,4.2143884178690065,0,0,,0,,0,0,1839.39,1,,,,225793.8815,,,,0,0,0,0,0,0,8.650637021983881e-05,0,0,-1,0,0,0,0,0.0006038836778868778,0,0,57.0,0.3367935685409776,0.0,0,70.35,85.47,6.39,19.1,2416.53,7.21,88.34,0.043824701195219126,6.0,509.82390331587044,22.0,501.0,0.0,71.57142857142857,4.25531914893617,0,0,-11.0,0,L3,-3,0,1943.48,0,,,,213476.26020000002,0.477,52.0,0,0,-0.009533769588518759,0.0,0,0.46999999999999886,0.0010548437614105732,2.3100000000000023,0.35999999999999943,6.340000000000002,-32.03834699619847,-161.3199999999997,1.0,0.75,-10.095238095238102,0.040930731067163606,0,0,0,104.08999999999992,-1,0,,-0.013999999999999985,0.008331152057405908,-0.12345679012345667,-0.4320987654320989,-0.04938271604938271,-0.0040000000000000036,-0.054300347356751294,0,,-0.006000000000000005,-0.02499999999999991,,-0.33950617283950635,,-0.3271604938271606,-0.052121212121212124,-0.018000000000000016,,-0.5555555555555554,0.0740740740740741,,-12317.62129999997
2024-08-01,BAL,CLE,TREVOR ROGERS,BEN LIVELY,GUARDIANS,CLE,1,0.0005207445407064147,0,0,44.0,0.3734678103107598,0.0,0,70.92,83.55,6.76,18.29,2237.3,7.33,88.49,0.04247787610619469,6.0,474.0221952017111,24.0,564.0,0.0,80.57142857142857,5.779351728886922,0,0,93.0,0,W2,2,1,2123.7599999999998,1,70.44262987012988,83.79093614718616,7.165733766233767,197978.677,0.596,65.0,,0,0,0,0,0,1,0.0002019557238090024,0,0,0,0,1,0,0,0.0007227002645154171,0,1,42.0,0.34585178907721276,0.0,0,69.72,84.35,6.81,21.48,1933.52,7.08,86.13,0.05502846299810247,6.0,412.56213518055046,29.0,526.0,0.0,75.14285714285714,4.80781725096806,0,0,81.0,0,W3,3,1,2497.77,2,,,,166534.0776,0.607,65.0,0,0,-0.02761602123354706,0.0,0,-1.2000000000000028,0.01255058689190778,0.7999999999999972,0.04999999999999982,3.1900000000000013,-61.46006002116064,-303.7800000000002,5.0,-2.3599999999999994,-5.428571428571431,-0.9715344779188619,0,0,0,374.0100000000002,1,0,,-0.01200000000000001,-8.010616773510004e-05,-0.09554482018250132,-0.7416992561920095,-0.301548960969251,-0.027999999999999997,0.01888171383898321,0,,-0.008000000000000007,-0.04800000000000004,-0.6760606602327677,-0.5236945019553714,-12.0,-0.45433632390154166,-0.03386136954153052,-0.03999999999999998,,-1.9256958822176227,-0.09190246146767884,0.01100000000000001,-31444.599400000006
2024-08-01,MIA,ATL,MAX MEYER,CHARLIE MORTON,BRAVES,ATL,1,0.0009363295880149813,0,1,68.0,0.3259961608113003,0.0,0,69.04,81.32,6.3,21.82,2402.11,7.39,90.92,0.056179775280898875,2.0,507.71818726591766,10.0,177.0,0.0,59.0,3.7792894935752086,0,0,-144.0,0,W1,1,1,909.2,0,71.64146825396826,80.9245238095238,6.718253968253968,218399.84120000002,0.37,40.0,5.172509433536468,0,0,1,0,0,2,-0.00012388811592660984,0,0,0,1,0,0,1,0.0008124414720883714,0,1,49.0,0.3588975004561211,0.0,0,69.7181990521327,82.74981042654028,6.529620853080568,17.592701421800946,2230.058720379147,7.220734597156397,88.87481042654028,0.05760487005790221,5.2559241706161135,472.69428940365015,25.248815165876778,437.3104265402844,0.0,69.90340909090911,5.3885853066180935,0,0,59.0,0,W2,2,1,2243.9836613620537,3,70.51473214285714,84.54214285714286,6.802597402597403,198196.04601374967,0.542,58.0,0,1,0.03290133964482084,0.0,0,0.6781990521326975,0.0014250947770033384,1.4298104265402856,0.22962085308056857,-4.227298578199054,-35.02389786226752,-172.05127962085317,15.248815165876778,-2.045189573459723,10.903409090909108,1.609295813042885,0,0,0,1334.7836613620536,3,-1,-1.1267361111111143,-0.0010000000000000009,0.015506698224104498,0.18518518518518512,-0.08641975308641925,0.38888888888888884,0.03799999999999998,-0.011214930297221759,1,3.6176190476190584,0.009000000000000008,0.04599999999999993,-6.024110432310015,0.38888888888888884,203.0,0.41358024691357986,0.031233279828785432,0.03699999999999998,0.08434343434343461,1.1666666666666679,-0.04938271604938271,0.17200000000000004,-20203.795186250354
2024-08-01,STL,CHC,SONNY GRAY,SHOTA IMANAGA,CUBS,CHC,1,0.0010333944680811448,1,1,52.0,0.3417597239876521,0.0,0,67.88,83.07,6.59,10.37,2469.57,7.16,87.88,0.08026030368763558,5.0,520.3046531984024,37.0,460.0,0.0,76.66666666666667,4.090435817343448,0,0,-35.0,0,W2,2,1,3251.56,2,71.53774801587302,84.57918695887446,7.363214285714285,217025.81160000002,0.519,56.0,0.7832500193259195,0,0,0,0,0,1,-5.871697166451805e-05,0,0,-1,0,0,0,0,0.0009746774964166267,0,1,58.0,0.3493698401029222,0.0,0,71.2,80.89,6.32,24.63,2003.84,7.59,86.62,0.07472527472527472,5.0,426.77902627806975,34.0,454.0,0.0,75.66666666666667,4.318447391149723,0,0,-7.0,0,W1,1,1,2945.08,1,69.37044217687074,84.21989795918367,7.095238095238095,173572.6208,0.473,52.0,0,0,0.007610116115270127,0.0,0,3.3200000000000074,-0.005535028962360855,-2.1799999999999926,-0.2699999999999996,14.26,-93.52562692033268,-465.73000000000025,-3.0,-1.259999999999991,-1.0,0.2280115738062749,0,0,0,-306.48,-1,-1,-2.1673058390022817,-0.006000000000000005,0.013550580576350807,-0.024691358024691246,-0.27777777777777857,0.030864197530864113,0.007000000000000006,-0.010989872474213402,0,-0.35928899969079,0.0050000000000000044,0.007000000000000006,4.3021788383353075,0.3518518518518521,28.0,0.3950617283950617,0.06825626204238922,0.0010000000000000009,-0.26797619047619037,-0.11111111111111072,0.04938271604938271,-0.04600000000000004,-43453.19080000001
2024-08-01,COL,LAA,RYAN FELTNER,CARSON FULMER,ROCKIES,COL,1,0.0007121875974334991,0,1,70.0,0.34561166116611663,0.0,0,70.02,83.48,6.52,16.24,2262.43,7.17,88.62,0.056466302367941715,6.0,479.0914624132329,31.0,548.0,0.0,78.28571428571429,4.547071076563532,0,0,-175.0,0,W1,1,1,2747.2200000000003,1,72.15243055555555,81.65178571428572,7.730555555555555,200496.5466,0.358,39.0,7.904187499999963,0,0,0,0,0,2,0.0006646833446548343,0,0,0,0,0,0,1,0.0013768709420883334,0,1,61.0,0.328395146537241,0.0,0,70.92,84.53,6.37,18.59,2127.35,7.33,89.69,0.07125307125307126,7.0,452.4022406556754,29.0,406.0,0.0,50.75,4.428341384863124,1,0,-93.0,0,L1,-1,0,2601.0099999999998,2,70.29413690476191,89.17958333333333,7.1734672619047615,190802.02149999997,0.435,47.0,0,0,-0.017216514628875634,0.0,0,0.9000000000000057,0.014786768885129545,1.0499999999999972,-0.14999999999999947,2.3500000000000014,-26.689221757557448,-135.07999999999993,-2.0,1.0699999999999932,-27.535714285714292,-0.11872969170040815,1,0,0,-146.2100000000005,1,-1,-1.858293650793641,-0.012999999999999984,0.006917426855621897,-0.308641975308642,-0.5679012345679002,-0.08641975308641969,-0.0180000000000001,0.03215259924349728,1,7.527797619047604,-0.0030000000000000027,-0.03299999999999992,-2.055070075331924,-0.36419753086419737,82.0,-0.2901234567901234,-0.005982664405502103,-0.031000000000000028,-0.5570882936507937,-1.2592592592592595,-0.06172839506172839,0.07700000000000001,-9694.525100000028
2024-07-31,MIA,TBR,RODDERY MUNOZ,TAJ BRADLEY,MARLINS,MIA,0,0.0008060101259884311,0,1,68.0,0.3259961608113003,0.0,0,69.74375886524822,82.69713947990543,6.544160756501182,17.755035460992907,2228.174431279621,7.2223404255319155,88.84004728132386,0.057491365127098785,5.156028368794326,472.3069517844128,24.947990543735223,432.9432624113475,0.0,70.3283410138249,3.7792894935752086,0,0,-148.0,0,L2,-2,0,2216.380659479458,0,66.51712962962962,74.90833333333335,6.6946127946127945,197951.12182591844,0.364,39.0,,0,0,0,0,0,0,9.048774844402799e-05,0,0,0,0,0,0,0,0.0008964978744324591,0,1,,0.3266965299684542,0.0,0,69.95,83.66,6.48,19.54,2052.48,7.11,91.86,0.0684326710816777,5.0,438.0771498886608,31.0,452.0,0.0,75.33333333333333,3.9281705948372614,0,0,,0,,0,0,2847.66,1,,,,188540.8128,,,0,0,0.000700369157153935,0.0,0,0.20624113475177808,0.010941305954578921,0.9628605200945657,-0.06416075650118191,1.7849645390070918,-34.22980189575196,-175.69443127962086,6.052009456264777,3.0199527186761372,5.004992319508432,0.14888110126205278,0,0,0,631.2793405205421,1,0,,-0.013999999999999985,0.01850184578577009,0.012345679012345734,-0.6543209876543212,-0.0185185185185186,0.0019999999999998908,-0.02021906133794077,0,,0.0020000000000000018,-0.009000000000000008,,-0.2901234567901234,,-0.20370370370370372,0.02651515151515149,-0.01200000000000001,,-0.69753086419753,0.0,,-9410.309025918425
2024-07-31,NYY,PHI,NESTOR CORTES,CRISTOPHER SANCHEZ,YANKEES,NYY,1,0.0008060101259884311,0,1,45.0,0.3833605504587156,0.0,0,69.74375886524822,82.69713947990543,6.544160756501182,17.755035460992907,2228.174431279621,7.2223404255319155,88.84004728132386,0.057491365127098785,5.156028368794326,472.3069517844128,24.947990543735223,432.9432624113475,0.0,70.3283410138249,5.875353264911498,1,0,117.0,0,W4,4,1,2216.380659479458,2,70.38230319063652,86.39921536796537,7.678268799102132,197951.12182591844,0.587,64.0,-0.2822596191266071,0,0,0,0,0,1,6.431346099940367e-06,0,0,0,0,0,0,0,0.0008124414720883714,0,1,42.0,0.3690122153957354,0.0,0,69.7181990521327,82.74981042654028,6.529620853080568,17.592701421800946,2230.058720379147,7.220734597156397,88.87481042654028,0.05760487005790221,5.2559241706161135,472.69428940365015,25.248815165876778,437.3104265402844,0.0,69.90340909090911,4.7372954349698535,0,0,103.0,0,L3,-3,0,2243.9836613620537,1,68.78216089466089,81.04029100529101,7.558709161209161,198196.04601374967,0.607,65.0,0,0,-0.014348335062980166,0.0,0,-0.025559813115521024,0.00011350493080342777,0.05267094663484784,-0.014539903420613953,-0.1623340391919612,0.3873376192373712,1.884289099526086,0.3008246221415547,0.03476314521641655,-0.4249319229157891,-1.1380578299416442,1,0,0,27.60300188259589,-1,-1,-1.6001422959756297,0.009000000000000008,-0.0302416753149007,0.2592592592592593,0.4382716049382722,-0.2407407407407407,-0.013000000000000095,-0.004257782581738312,-1,-5.358924362674358,-0.008000000000000007,-0.01100000000000001,0.007746752384747431,-0.19753086419753085,-14.0,-0.19135802469135754,0.05953084959589994,-0.0040000000000000036,-0.11955963789297108,0.08641975308641925,0.05555555555555555,0.020000000000000018,244.9241878312314
2024-07-31,TOR,BAL,PAOLO ESPINO,GRAYSON RODRIGUEZ,ORIOLES,BAL,0,0.0003417634996582365,0,0,58.0,0.3444539741219963,0.0,0,73.04,84.55,6.5,21.25,2286.28,7.27,80.44,0.013157894736842105,1.0,481.397142173616,1.0,75.0,0.0,37.5,3.979185797367615,0,0,-76.0,0,L1,-1,0,80.44,0,68.9295238095238,83.28472222222223,7.243730158730159,183908.36320000002,0.468,51.0,2.113840972222234,0,0,1,0,0,1,0.000485535642487322,0,0,1,1,1,0,1,0.0008272991421455585,1,1,44.0,0.3734678103107598,0.0,0,69.09,83.01,7.28,14.88,2251.01,7.17,89.0,0.06996587030716724,6.0,476.9253546259571,41.0,585.0,0.0,83.57142857142857,5.779351728886922,0,0,87.0,0,W1,1,1,3649.0,3,71.94844284188034,81.9120982142857,7.2077430555555555,200339.89,0.593,64.0,0,1,0.02901383618876352,0.0,0,-3.950000000000003,0.05680797557032513,-1.539999999999992,0.7800000000000002,-6.369999999999999,-4.4717875476588915,-35.26999999999998,40.0,8.560000000000002,46.07142857142857,1.8001659315193068,0,0,0,3568.56,3,1,3.0189190323565356,0.009000000000000008,-0.006430819056182396,-0.11111111111111094,0.5246913580246915,0.4876543209876545,0.037000000000000005,-0.01620584331950861,0,-1.3726240079365226,0.0020000000000000018,0.04800000000000004,-0.5589734434573612,0.734567901234568,163.0,0.7098765432098757,-0.02143385070214343,0.045999999999999985,-0.03598710317460352,1.9629629629629637,0.043209876543209874,0.12499999999999994,16431.526799999992
2024-07-31,MIN,NYM,PABLO LOPEZ,LUIS SEVERINO,TWINS,MIN,0,0.0008060101259884311,0,1,48.0,0.35713132969034606,0.0,0,69.74375886524822,82.69713947990543,6.544160756501182,17.755035460992907,2228.174431279621,7.2223404255319155,88.84004728132386,0.057491365127098785,5.156028368794326,472.3069517844128,24.947990543735223,432.9432624113475,0.0,70.3283410138249,4.573399310241415,0,0,36.0,0,L2,-2,0,2216.380659479458,2,67.81837197159565,83.12342592592593,6.99921470342523,197951.12182591844,0.547,58.0,-3.6343986634895353,0,0,0,0,0,1,-0.00010679832837846414,0,0,0,0,0,0,1,0.0006992117976099669,0,1,50.0,0.36295698729582576,0.0,0,69.91,82.05,6.49,19.45,2269.27,7.11,91.84,0.05092592592592592,5.0,481.4240237732012,22.0,431.0,0.0,71.83333333333333,5.173189383715699,1,0,31.0,0,W2,2,1,2020.48,1,73.16888528138529,88.7395238095238,7.4950216450216445,208409.7568,0.533,57.0,0,0,0.005825657605479706,0.0,0,0.16624113475177182,-0.006565439201172862,-0.6471394799054337,-0.05416075650118213,1.694964539007092,9.117071988788439,41.095568720379106,-2.947990543735223,2.999952718676141,1.5049923195084318,0.599790073474284,1,0,0,-195.90065947945777,-1,1,5.350513309789633,0.0,0.0071282880273983995,-0.18518518518518512,0.03086419753086389,0.14814814814814814,0.0040000000000000036,-0.01292962951943638,1,5.616097883597874,0.0040000000000000036,0.008000000000000007,-0.12763900784303825,0.20370370370370416,-5.0,0.16049382716049365,0.08948863636363635,0.0040000000000000036,0.49580694159641414,0.19135802469135754,-0.04938271604938271,-0.014000000000000012,10458.634974081564
2024-07-31,ATL,MIL,CHRIS SALE,FREDDY PERALTA,BRAVES,ATL,1,0.0009655784336752004,0,1,49.0,0.3588975004561211,0.0,0,68.97,79.59,6.43,16.38,2220.72,7.43,88.24,0.07756813417190776,5.0,470.6417600668076,37.0,476.0,0.0,79.33333333333333,5.3885853066180935,1,0,55.0,0,W1,1,1,3264.8799999999997,1,72.32312237762237,87.56689393939395,7.020188811188811,195956.33279999997,0.538,57.0,-19.75890909090908,0,0,0,0,0,2,-0.00026816687267573747,0,0,0,0,0,0,1,0.0006974115609994629,0,1,46.0,0.3599201754385965,0.0,0,69.53,82.27,6.59,22.03,2208.98,7.16,89.81,0.05835010060362173,5.0,468.75889546842814,29.0,496.0,0.0,82.66666666666667,4.387922058604789,0,0,81.0,0,L1,-1,0,2604.4900000000002,2,70.60615740740741,80.19416666666666,7.131064814814814,198388.4938,0.57,61.0,0,0,0.00102267498247538,0.0,0,0.5600000000000023,-0.019218033568286032,2.6799999999999926,0.16000000000000014,5.650000000000002,-1.8828645983794559,-11.739999999999782,-8.0,1.5700000000000074,3.333333333333343,-1.0006632480133044,1,0,0,-660.3899999999994,1,-1,-1.7169649702149599,0.0050000000000000044,0.020613374912376706,-0.14814814814814814,0.16049382716049365,-0.22222222222222232,-0.016999999999999987,-7.291936738401672e-05,-1,-7.372727272727289,0.017000000000000015,0.0050000000000000044,-0.06025166714814243,0.4197530864197532,26.0,0.45061728395061795,0.06255693896143333,-0.011999999999999955,0.1108760036260028,-0.4320987654320998,0.1111111111111111,0.03199999999999992,2432.161000000022
