full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Alex Cobb,242,90.38,1895.21,5.92,10,0,71.45,3.34,84.62,7.31,3
Miles Mikolas,539,88.77,2267.73,6.41,23,0,70.24,18.35,81.55,7.09,6
Aaron Nola,597,86.84,2372.8,6.84,32,0,69.3,14.99,82.87,7.39,6
Zach Eflin,358,86.54,2156.51,6.51,27,0,68.15,17.45,81.2,7.25,4
Ty Blach,63,84.77,2106.67,4.99,1,0,72.1,17.76,87.33,7.35,1
Sean Manaea,582,87.85,2021.39,7.0,42,0,67.87,26.9,82.55,6.7,6
Bailey Ober,519,87.09,2163.06,7.34,34,0,68.85,23.06,83.01,7.35,6
Dylan Cease,492,90.63,2672.23,6.35,27,0,69.54,18.62,82.05,7.28,6
Mitch Keller,521,89.71,2520.63,6.48,31,0,68.72,19.21,82.46,7.02,6
Logan Webb,602,89.44,1918.78,6.93,33,0,70.18,1.79,84.56,7.22,6
Tobias Myers,526,88.52,2150.63,6.64,28,0,71.11,18.35,84.65,7.36,6
Ronel Blanco,526,88.21,2103.76,6.78,29,0,70.75,19.5,81.67,7.56,6
Darren McCaughan,153,86.4,2123.74,6.7,7,0,70.6,14.75,80.83,7.11,3
Garrett Crochet,317,95.07,2585.09,6.98,28,0,70.9,17.65,83.53,7.13,6
Walter Pennington,180,88.17,2259.74,5.88,11,0,68.53,10.91,81.11,7.31,8
Alec Marsh,160,89.26,2323.6,6.15,7,0,69.35,22.29,82.37,7.25,2
Mitchell Parker,512,87.87,1957.7,6.74,33,0,69.24,24.43,81.73,7.24,6
Justin Wrobleski,178,89.77,2273.59,5.29,5,0,70.09,21.92,86.15,6.89,2
Spencer Schwellenbach,564,90.16,2200.24,6.74,44,0,69.18,14.33,80.5,7.25,6
Cooper Criswell,336,84.63,2048.53,6.73,11,0,71.17,13.03,82.83,7.13,6
Brandon Williamson,66,88.88,2235.73,5.72,5,0,68.72,27.81,84.28,7.06,1
Bryce Miller,535,90.78,2235.72,6.34,38,0,69.81,25.38,83.26,7.25,6
Ryan Pepiot,355,90.83,2438.57,6.63,20,0,68.85,24.14,81.16,7.02,4
Mitch Spence,543,87.64,2491.46,6.22,27,0,71.11,9.95,81.28,7.52,6
Beau Brieske,290,92.25,2412.37,6.06,18,0,70.5,17.84,80.45,7.31,11
Brandon Pfaadt,557,90.03,2555.01,6.65,39,0,70.21,11.43,82.23,7.27,6
Jordan Wicks,69,86.69,2023.8,6.28,0,0,67.19,22.17,78.14,6.92,1
Caden Dana,95,88.82,2028.76,6.55,4,0,68.13,27.54,83.08,7.24,1
