team,wins,losses,run_diff,streak,games_played,win_pct
NYY,2,0,7,W2,2,1.000
BAL,1,0,8,W1,1,1.000
BOS,1,1,1,L1,2,.500
TB,1,1,0,W1,2,.500
TOR,1,1,0,L1,2,.500
CLE,2,0,10,W2,2,1.000
DET,1,0,1,W1,1,1.000
MIN,1,0,3,W1,1,1.000
CWS,0,1,-1,L1,1,.000
KC,0,1,-3,L1,1,.000
TEX,1,0,1,W1,1,1.000
SEA,1,1,-1,W1,2,.500
LAA,0,1,-8,L1,1,.000
HOU,0,2,-7,L2,2,.000
OAK,0,2,-10,L2,2,.000
ATL,1,0,6,W1,1,1.000
NYM,0,1,-2,L1,1,.000
PHI,0,1,-6,L1,1,.000
WSH,0,1,-6,L1,1,.000
MIA,0,2,-6,L2,2,.000
PIT,2,0,6,W2,2,1.000
CIN,1,0,6,W1,1,1.000
MIL,1,0,2,W1,1,1.000
CHC,0,1,-1,L1,1,.000
STL,0,2,-9,L2,2,.000
ARI,2,0,19,W2,2,1.000
LAD,3,1,8,W2,4,.750
SD,2,2,-2,L1,4,.500
SF,1,1,3,W1,2,.500
COL,0,2,-19,L2,2,.000
