game_date,home_team,away_team,winner
2025-06-24,Orioles,Rangers,Rangers
2025-06-24,Guardians,Blue Jays,Blue Jays
2025-06-24,Tigers,Athletics,Tigers
2025-06-24,Reds,Yankees,Reds
2025-06-24,Mets,Braves,Braves
2025-06-24,White Sox,D-backs,D-backs
2025-06-24,Royals,Rays,Rays
2025-06-24,Brewers,Pirates,Brewers
2025-06-24,Twins,Mariners,Mariners
2025-06-24,Cardinals,Cubs,Cardinals
2025-06-24,Astros,Phillies,Astros
2025-06-24,Rockies,Dodgers,Dodgers
2025-06-24,Angels,Red Sox,Angels
2025-06-24,Padres,Nationals,Padres
2025-06-24,Giants,Marlins,Marlins
