full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Kyle Gibson,372,85.97,2232.33,6.91,27,0,69.57,6.01,82.46,7.8,4
Tyler Anderson,589,84.0,2082.15,6.14,21,0,69.99,21.64,80.83,7.32,6
Gerrit Cole,134,91.26,2399.42,6.28,5,0,69.31,24.48,86.57,7.05,2
Kyle Hendricks,341,83.07,2253.7,5.62,17,0,68.06,11.87,78.6,7.13,6
Andrew Heaney,478,86.72,2408.47,6.4,30,0,69.64,22.58,82.63,7.28,6
Hoby Milner,213,84.81,1936.09,6.73,13,0,66.33,14.72,81.01,6.89,13
Kevin Gausman,585,90.45,2146.55,6.63,31,0,70.39,26.18,83.28,7.17,6
Austin Gomber,422,85.37,2221.26,6.78,15,0,70.8,21.59,83.51,7.57,5
Seth Lugo,579,87.35,2610.06,5.99,34,0,69.97,6.82,81.56,7.26,6
Cole Irvin,522,86.39,2018.33,6.34,24,0,70.2,20.21,84.04,7.34,6
Chris Flexen,519,85.88,2205.17,6.33,24,0,69.57,18.05,82.95,7.42,6
Yonny Chirinos,165,88.77,2091.49,6.19,11,0,69.54,28.39,79.37,7.21,2
Zack Littell,514,86.69,1811.21,6.21,27,0,70.63,20.91,83.11,7.37,6
Mitch Keller,486,89.77,2520.14,6.43,33,0,68.93,18.26,80.44,7.03,5
David Peterson,454,89.03,2108.35,7.1,20,0,68.62,10.42,84.47,7.07,5
Joe Ryan,561,90.91,2279.12,6.86,36,0,70.57,26.5,83.39,7.16,6
Hunter Greene,526,92.22,2202.95,6.42,32,0,69.03,29.88,82.59,7.23,5
MacKenzie Gore,588,92.07,2283.91,6.99,36,0,70.1,20.95,81.29,7.12,6
Tarik Skubal,542,92.19,2051.55,6.33,40,0,69.87,15.91,81.74,7.21,6
Logan Allen,373,87.23,1965.36,6.33,14,0,69.98,20.48,84.58,6.99,5
Bobby Miller,139,91.52,2344.35,6.88,3,0,70.28,11.0,87.74,7.37,2
Brayan Bello,512,91.01,2128.91,6.33,27,0,69.27,0.9,82.62,7.33,6
Hunter Brown,559,92.23,2158.25,6.59,45,0,68.85,11.87,80.28,6.89,6
Mitch Spence,547,87.6,2488.1,6.3,26,0,69.92,16.7,85.12,7.28,6
Brandon Pfaadt,536,90.51,2555.05,6.72,28,0,69.88,18.05,83.63,7.23,6
Adam Mazur,385,89.92,2178.91,5.98,11,0,70.26,23.13,85.51,7.31,5
