game_date,home_team,away_team,winner
2024-08-21,Mets,Orioles,Mets
2024-08-21,Astros,Red Sox,Red Sox
2024-08-21,Rangers,Pirates,Rangers
2024-08-21,Giants,White Sox,White Sox
2024-08-21,Marlins,D-backs,D-backs
2024-08-21,Padres,Twins,Twins
2024-08-21,Nationals,Rockies,Nationals
2024-08-21,Yankees,Guardians,Yankees
2024-08-21,Blue Jays,Reds,Reds
2024-08-21,Braves,Phillies,Phillies
2024-08-21,Cardinals,Brewers,Cardinals
2024-08-21,Cubs,Tigers,Tigers
2024-08-21,Royals,Angels,Royals
2024-08-21,Dodgers,Mariners,Dodgers
