game_date,home_team,away_team,winner
2024-06-02,Astros,Twins,Twins
2024-06-02,Orioles,Rays,Rays
2024-06-02,Red Sox,Tigers,Tigers
2024-06-02,Blue Jays,Pirates,Blue Jays
2024-06-02,Guardians,Nationals,Nationals
2024-06-02,Marlins,Rangers,Rangers
2024-06-02,Mets,D-backs,D-backs
2024-06-02,Royals,Padres,Royals
2024-06-02,Brewers,White Sox,Brewers
2024-06-02,Cubs,Reds,Reds
2024-06-02,Giants,Yankees,Yankees
2024-06-02,Dodgers,Rockies,Dodgers
2024-06-02,Mariners,Angels,Mariners
2024-06-02,Phillies,Cardinals,Cardinals
