game_date,home_team,away_team,winner
2024-05-22,Nationals,Twins,Twins
2024-05-22,Guardians,Mets,Guardians
2024-05-22,Cardinals,Orioles,Cardinals
2024-05-22,Astros,Angels,Angels
2024-05-22,Royals,Tigers,Royals
2024-05-22,Reds,Padres,Padres
2024-05-22,Marlins,Brewers,Marlins
2024-05-22,Phillies,Rangers,Phillies
2024-05-22,Pirates,Giants,Giants
2024-05-22,Rays,Red Sox,Red Sox
2024-05-22,Yankees,Mariners,Yankees
2024-05-22,Blue Jays,White Sox,Blue Jays
2024-05-22,Cubs,Braves,Braves
2024-05-22,Dodgers,D-backs,D-backs
