game_date,home_team,away_team,winner
2024-09-07,Pirates,Nationals,Nationals
2024-09-07,Cubs,Yankees,Yankees
2024-09-07,Orioles,Rays,Rays
2024-09-07,Astros,D-backs,Astros
2024-09-07,Marlins,Phillies,Marlins
2024-09-07,Mets,Reds,Mets
2024-09-07,Pirates,Nationals,Nationals
2024-09-07,Rangers,Angels,Rangers
2024-09-07,Brewers,Rockies,Brewers
2024-09-07,Red Sox,White Sox,Red Sox
2024-09-07,Royals,Twins,Royals
2024-09-07,Cardinals,Mariners,Cardinals
2024-09-07,Braves,Blue Jays,Blue Jays
2024-09-07,Padres,Giants,Giants
2024-09-07,Dodgers,Guardians,Dodgers
