game_date,home_team,away_team,winner
2024-07-06,Yankees,Red Sox,Yankees
2024-07-06,Twins,Astros,Twins
2024-07-06,Cubs,Angels,Angels
2024-07-06,Pirates,Mets,Mets
2024-07-06,Rangers,Rays,Rangers
2024-07-06,Nationals,Cardinals,Nationals
2024-07-06,Reds,Tigers,Tigers
2024-07-06,Guardians,Giants,Guardians
2024-07-06,Marlins,White Sox,Marlins
2024-07-06,Mariners,Blue Jays,Blue Jays
2024-07-06,Braves,Phillies,Braves
2024-07-06,Dodgers,Brewers,Dodgers
2024-07-06,Rockies,Royals,Rockies
2024-07-06,Padres,D-backs,D-backs
