game_date,home_team,away_team,winner
2024-09-22,Red Sox,Twins,Red Sox
2024-09-22,Reds,Pirates,Pirates
2024-09-22,Orioles,Tigers,Tigers
2024-09-22,Marlins,Braves,Braves
2024-09-22,Rays,Blue Jays,Rays
2024-09-22,Astros,Angels,Angels
2024-09-22,Royals,Giants,Giants
2024-09-22,Brewers,D-backs,Brewers
2024-09-22,Cardinals,Guardians,Cardinals
2024-09-22,Cubs,Nationals,Cubs
2024-09-22,Rangers,Mariners,Rangers
2024-09-22,Dodgers,Rockies,Dodgers
2024-09-22,Padres,White Sox,Padres
2024-09-22,Red Sox,Twins,Red Sox
2024-09-22,Mets,Phillies,Mets
