full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Justin Verlander,273,87.57,2374.59,5.98,12,0,69.49,19.52,84.53,7.34,3
Gerrit Cole,544,90.88,2453.88,6.24,40,0,69.11,22.13,83.58,7.05,6
Jameson Taillon,548,86.61,2421.41,6.63,25,0,70.08,18.58,83.2,7.25,6
Joe Musgrove,399,87.98,2719.06,6.04,27,0,70.83,17.91,84.3,7.12,5
Michael Wacha,557,86.85,1944.15,6.81,32,0,68.32,21.99,80.96,7.19,6
Luis Severino,581,92.56,2257.44,6.33,40,0,69.07,22.2,82.77,6.97,6
Chris Flexen,509,85.06,2152.85,6.34,19,0,70.42,22.8,81.68,7.36,6
Zack Littell,315,87.76,1903.91,6.23,13,0,70.31,25.37,82.91,7.28,4
Freddy Peralta,569,89.05,2231.33,6.71,26,0,69.56,23.71,82.91,7.16,6
Jack Flaherty,596,86.58,2339.35,6.54,41,0,69.2,16.15,80.83,7.34,6
Tyler Holton,268,87.45,2261.59,6.46,14,0,69.24,11.56,79.85,7.32,13
Gavin Williams,530,91.52,2317.83,7.22,33,0,69.76,20.47,83.18,7.02,6
Corbin Burnes,562,90.95,2685.04,6.49,26,0,68.26,11.39,82.43,7.29,6
Logan Gilbert,578,90.24,1923.44,7.49,45,0,69.44,11.57,82.55,7.49,6
Andre Pallante,592,91.35,2344.61,6.68,22,0,69.41,2.31,82.99,7.08,6
Osvaldo Bido,547,91.04,2267.77,6.26,32,0,70.31,24.3,79.83,7.25,6
Brayan Bello,557,91.14,2117.5,6.3,32,0,71.36,5.67,83.29,7.44,6
Simeon Woods Richardson,519,87.85,2276.16,6.63,26,0,69.31,27.41,80.66,7.15,6
Jared Jones,170,92.28,2504.89,6.66,8,0,69.62,19.15,84.45,7.24,2
Jack Leiter,163,91.66,2436.33,6.78,6,0,70.8,25.84,84.09,7.24,2
Julian Aguiar,279,87.91,1960.99,5.97,9,0,70.5,27.93,84.02,7.19,4
