mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
457705,andrew mccutchen,PIT,71.06,63.84,7.34,13,0,2,9.0,78.0,371.0,0.25,0.38
502671,paul goldschmidt,NYY,72.7,71.06,7.96,14,0,2,8.0,66.0,385.0,0.29,0.43
514888,josé altuve,HOU,78.82,71.14,7.79,18,0,3,17.0,68.0,426.0,0.28,0.46
518692,freddie freeman,LAD,86.93,66.18,6.54,16,0,1,10.0,86.0,384.0,0.3,0.47
521692,salvador pérez,KC,86.91,74.89,7.95,15,0,1,18.0,77.0,407.0,0.26,0.47
527038,wilmer flores,SF,81.85,61.03,7.23,7,0,0,12.0,65.0,363.0,0.24,0.38
542303,marcell ozuna,ATL,79.08,73.05,7.5,26,0,1,13.0,90.0,396.0,0.24,0.39
543760,marcus semien,TEX,75.92,69.08,7.95,20,0,1,13.0,80.0,429.0,0.23,0.36
543807,george springer,TOR,79.47,71.51,7.64,16,0,3,17.0,73.0,393.0,0.29,0.5
553993,eugenio suárez,AZ,76.13,73.08,7.42,16,0,1,36.0,111.0,421.0,0.25,0.59
571448,nolan arenado,STL,81.02,62.62,7.6,13,0,0,10.0,36.0,379.0,0.24,0.38
572233,christian walker,HOU,90.96,75.57,7.4,19,0,0,13.0,114.0,412.0,0.23,0.38
573262,mike yastrzemski,SF,85.52,70.1,7.87,11,0,0,8.0,82.0,358.0,0.24,0.36
592206,nick castellanos,PHI,75.55,70.34,7.28,12,0,2,13.0,85.0,421.0,0.27,0.43
592518,manny machado,SD,89.58,75.11,7.79,14,0,0,19.0,76.0,443.0,0.29,0.49
592885,christian yelich,MIL,80.77,74.5,7.95,12,0,0,19.0,112.0,412.0,0.26,0.44
596019,francisco lindor,NYM,89.48,72.73,7.54,14,0,1,20.0,85.0,462.0,0.25,0.44
596146,max kepler,PHI,74.18,71.51,7.1,16,0,3,11.0,66.0,338.0,0.2,0.36
605137,josh bell,WSH,78.91,68.99,7.54,20,0,1,13.0,59.0,348.0,0.22,0.39
606192,teoscar hernández,LAD,87.6,73.09,7.59,16,0,1,15.0,80.0,335.0,0.25,0.46
607043,brandon nimmo,NYM,76.6,65.54,7.34,12,0,0,19.0,81.0,414.0,0.26,0.47
621020,dansby swanson,CHC,82.38,67.72,6.89,17,1,2,16.0,115.0,426.0,0.25,0.42
621043,carlos correa,MIN,89.99,75.13,7.04,13,0,0,7.0,66.0,349.0,0.27,0.39
621439,byron buxton,MIN,91.28,76.29,8.14,18,0,1,23.0,97.0,361.0,0.28,0.57
621493,taylor ward,LAA,82.12,69.05,6.92,14,0,1,23.0,119.0,442.0,0.23,0.48
621566,matt olson,ATL,72.02,75.95,8.11,18,0,2,18.0,106.0,453.0,0.26,0.47
624413,pete alonso,NYM,87.52,71.88,7.94,17,1,1,22.0,105.0,450.0,0.27,0.51
641355,cody bellinger,NYY,88.27,68.75,7.37,8,0,0,19.0,55.0,401.0,0.28,0.51
641857,ryan mcmahon,COL,87.55,74.8,7.23,9,0,1,16.0,127.0,401.0,0.22,0.4
642715,willy adames,SF,75.1,73.9,8.25,15,0,0,15.0,113.0,438.0,0.23,0.4
645277,ozzie albies,ATL,84.63,67.97,7.07,16,0,1,9.0,68.0,432.0,0.22,0.33
646240,rafael devers,SF,88.88,73.65,7.33,19,0,0,19.0,120.0,474.0,0.26,0.48
647304,josh naylor,AZ,88.68,76.12,7.53,16,2,0,11.0,51.0,398.0,0.29,0.44
650333,luis arráez,SD,80.78,65.79,6.17,16,0,0,5.0,12.0,428.0,0.29,0.4
650402,gleyber torres,DET,90.35,68.69,6.88,32,0,1,9.0,51.0,392.0,0.28,0.41
650489,willi castro,MIN,86.59,70.05,6.94,20,0,1,10.0,81.0,323.0,0.25,0.42
650490,yandy díaz,TB,76.27,69.77,7.38,21,0,0,17.0,61.0,436.0,0.29,0.47
650859,luis rengifo,LAA,87.1,72.43,7.04,12,0,0,4.0,66.0,367.0,0.24,0.32
656716,zach mckinstry,DET,63.3,64.56,6.6,10,0,2,8.0,73.0,356.0,0.27,0.44
656775,cedric mullins,BAL,82.78,69.22,7.7,15,0,0,13.0,83.0,335.0,0.22,0.4
656811,ryan o'hearn,BAL,94.45,73.38,7.93,14,0,0,12.0,57.0,342.0,0.28,0.45
656941,kyle schwarber,PHI,75.9,79.75,7.97,20,0,2,36.0,121.0,458.0,0.26,0.58
657757,gavin sheets,SD,86.76,71.39,7.61,22,0,1,14.0,75.0,383.0,0.25,0.42
660271,shohei ohtani,LAD,91.74,77.11,7.84,14,0,1,37.0,121.0,470.0,0.27,0.62
660821,jesús sánchez,MIA,90.77,76.49,7.49,17,1,1,9.0,67.0,321.0,0.26,0.42
661388,william contreras,MIL,81.12,75.61,7.46,15,0,1,6.0,80.0,422.0,0.24,0.34
663538,nico hoerner,CHC,78.7,66.36,6.7,25,0,1,3.0,30.0,407.0,0.29,0.37
663586,austin riley,ATL,84.82,75.94,8.16,14,0,1,14.0,114.0,412.0,0.27,0.44
663616,trevor larnach,MIN,88.1,71.36,7.24,12,0,0,13.0,86.0,384.0,0.24,0.4
663647,ke'bryan hayes,PIT,86.85,73.0,7.25,8,0,0,2.0,79.0,377.0,0.24,0.3
663697,jonathan india,KC,77.6,72.51,7.37,18,0,1,4.0,68.0,411.0,0.24,0.34
663728,cal raleigh,SEA,93.43,71.47,8.13,15,0,2,39.0,113.0,448.0,0.26,0.61
663757,trent grisham,NYY,75.53,64.6,7.03,10,0,0,17.0,72.0,336.0,0.25,0.46
663993,nathaniel lowe,WSH,80.62,66.74,6.28,15,0,1,15.0,118.0,428.0,0.22,0.39
664023,ian happ,CHC,88.6,71.7,6.76,18,1,2,13.0,95.0,429.0,0.22,0.37
664034,ty france,MIN,81.6,70.85,7.2,11,0,1,6.0,60.0,374.0,0.25,0.36
664040,brandon lowe,TB,78.87,73.04,6.53,13,0,2,19.0,89.0,350.0,0.27,0.48
664761,alec bohm,PHI,87.17,72.58,8.02,14,0,1,8.0,62.0,383.0,0.28,0.39
665161,jeremy peña,HOU,82.45,68.2,7.26,16,0,1,11.0,55.0,350.0,0.32,0.49
665742,juan soto,NYM,73.34,70.37,7.07,24,0,0,24.0,85.0,453.0,0.26,0.5
666158,gavin lux,CIN,78.42,70.39,7.09,11,0,1,4.0,79.0,332.0,0.27,0.38
666176,jo adell,LAA,94.7,67.3,7.4,1,0,0,21.0,89.0,359.0,0.24,0.47
666969,adolis garcía,TEX,78.06,70.44,7.8,16,0,2,14.0,104.0,399.0,0.23,0.4
667670,brent rooker,ATH,82.07,74.6,6.78,13,0,1,21.0,104.0,460.0,0.27,0.5
668227,randy arozarena,SEA,83.3,70.12,7.04,26,0,1,19.0,122.0,444.0,0.25,0.47
668715,spencer steer,CIN,79.72,72.65,7.24,16,0,1,11.0,87.0,377.0,0.25,0.39
668804,bryan reynolds,PIT,89.2,67.44,6.93,17,1,1,10.0,114.0,420.0,0.23,0.38
668930,brice turang,MIL,84.05,65.37,5.77,16,0,0,6.0,90.0,420.0,0.28,0.37
669257,will smith,LAD,67.1,64.8,5.9,6,0,0,14.0,58.0,326.0,0.32,0.55
