full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Chris Sale,590,86.88,2191.04,6.37,51,0,68.09,17.31,79.89,7.35,6
Sonny Gray,525,88.12,2543.61,6.64,44,0,69.34,7.65,83.09,7.22,6
Patrick Corbin,546,86.2,2104.45,6.73,18,0,69.64,13.91,85.58,7.25,6
Yusei Kikuchi,533,89.74,2277.38,6.97,28,0,70.69,18.68,83.94,7.15,6
Ben Lively,539,85.59,1981.53,6.97,29,0,69.7,24.64,83.07,7.13,6
Aaron Brooks,259,88.18,2118.82,6.09,9,0,68.1,13.93,85.62,7.33,3
Joe Musgrove,330,87.3,2687.78,6.09,21,0,70.18,17.53,82.28,7.33,4
Michael Wacha,548,87.05,1909.9,6.7,29,0,68.82,15.91,82.18,7.37,6
Brent Suter,233,82.78,2070.6,7.17,10,0,68.03,15.63,77.05,6.92,11
Cal Quantrill,573,88.68,1769.49,6.43,34,0,70.94,12.16,83.11,7.33,6
Sean Manaea,464,88.61,1938.36,7.09,20,0,69.97,22.92,81.98,7.11,5
Gerson Garabito,84,87.22,2411.11,6.71,2,0,71.01,8.04,81.4,7.29,1
Tanner Houck,588,87.65,2209.11,5.93,37,0,69.93,2.7,84.02,7.31,6
Logan Webb,591,88.64,1951.55,7.07,35,0,71.18,5.86,85.92,7.3,6
Clarke Schmidt,574,89.39,2877.2,6.1,38,0,71.12,18.95,81.89,7.12,6
Casey Mize,496,89.49,2009.53,7.0,18,0,68.94,15.06,84.58,7.0,6
Javier Assad,530,88.0,2052.81,6.57,28,0,71.06,15.43,83.12,7.33,6
Tobias Myers,290,88.51,2156.67,6.64,18,0,69.2,21.6,84.48,7.26,5
Ronel Blanco,461,87.71,1961.57,6.62,29,0,70.52,20.58,83.32,7.31,5
Taj Bradley,363,91.36,2161.61,6.57,29,0,69.35,22.88,83.85,7.05,4
Reid Detmers,542,87.89,2110.71,5.93,33,0,69.12,23.73,83.59,7.31,6
Garrett Crochet,527,93.52,2441.63,7.08,45,0,68.94,18.63,80.63,7.0,6
Ryan Weathers,565,90.82,2227.64,5.76,30,0,69.99,14.34,83.8,7.15,6
Kyle Bradish,436,90.99,2435.33,6.59,34,0,68.18,13.27,79.66,7.09,5
Blake Walston,144,85.97,2139.91,6.09,9,0,69.56,13.64,82.77,7.17,2
Bryan Woo,288,92.66,2213.66,6.64,16,0,69.9,25.62,81.42,6.89,4
Yoshinobu Yamamoto,475,89.5,2109.4,6.6,32,0,69.86,9.49,82.42,7.11,5
