game_date,home_team,away_team,winner
2024-08-16,Cubs,Blue Jays,Cubs
2024-08-16,Reds,Royals,Royals
2024-08-16,Tigers,Yankees,Yankees
2024-08-16,Phillies,Nationals,Phillies
2024-08-16,Pirates,Mariners,Pirates
2024-08-16,Rays,D-backs,Rays
2024-08-16,Orioles,Red Sox,Red Sox
2024-08-16,Mets,Marlins,Mets
2024-08-16,Rangers,Twins,Twins
2024-08-16,Astros,White Sox,White Sox
2024-08-16,Brewers,Guardians,Brewers
2024-08-16,Cardinals,Dodgers,Dodgers
2024-08-16,Rockies,Padres,Rockies
2024-08-16,Angels,Braves,Angels
