game_date,home_team,away_team,winner
2024-05-14,White Sox,Nationals,White Sox
2024-05-14,Mets,Phillies,Phillies
2024-05-14,White Sox,Nationals,Nationals
2024-05-14,Tigers,Marlins,Marlins
2024-05-14,Red Sox,Rays,Red Sox
2024-05-14,Braves,Cubs,Braves
2024-05-14,Brewers,Pirates,Brewers
2024-05-14,Twins,Yankees,Yankees
2024-05-14,Rangers,Guardians,Guardians
2024-05-14,Angels,Cardinals,Cardinals
2024-05-14,D-backs,Reds,Reds
2024-05-14,Padres,Rockies,Rockies
2024-05-14,Mariners,Royals,Royals
2024-05-14,Giants,Dodgers,Dodgers
