game_date,home_team,away_team,winner
2024-04-21,Yankees,Rays,Yankees
2024-04-21,Phillies,White Sox,Phillies
2024-04-21,Pirates,Red Sox,Red Sox
2024-04-21,Nationals,Astros,Nationals
2024-04-21,Reds,Angels,Reds
2024-04-21,Royals,Orioles,Orioles
2024-04-21,Twins,Tigers,Tigers
2024-04-21,Cardinals,Brewers,Brewers
2024-04-21,Cubs,Marlins,Marlins
2024-04-21,Rockies,Mariners,Rockies
2024-04-21,Giants,D-backs,D-backs
2024-04-21,Dodgers,Mets,Dodgers
2024-04-21,Padres,Blue Jays,Padres
2024-04-21,Braves,Rangers,Rangers
2024-04-21,Rockies,Mariners,Mariners
