game_date,home_team,away_team,winner
2024-06-19,Braves,Tigers,Braves
2024-06-19,Pirates,Reds,Pirates
2024-06-19,Marlins,Cardinals,Marlins
2024-06-19,Phillies,Padres,Padres
2024-06-19,Cubs,Giants,Cubs
2024-06-19,Nationals,D-backs,Nationals
2024-06-19,Guardians,Mariners,Guardians
2024-06-19,Yankees,Orioles,Orioles
2024-06-19,Blue Jays,Red Sox,Red Sox
2024-06-19,Twins,Rays,Rays
2024-06-19,Rangers,Mets,Rangers
2024-06-19,White Sox,Astros,Astros
2024-06-19,Rockies,Dodgers,Rockies
2024-06-19,Angels,Brewers,Brewers
