team,wins,losses,run_diff,streak,games_played,win_pct
BAL,23,12,52,L1,35,.657
NYY,24,13,49,W4,37,.649
BOS,19,17,39,L1,36,.528
TB,19,18,-28,W5,37,.514
TOR,16,20,-46,L2,36,.444
CLE,23,13,40,L1,36,.639
MIN,20,15,11,L1,35,.571
KC,21,16,44,L1,37,.568
DET,19,17,7,W1,36,.528
CWS,8,28,-92,L2,36,.222
TEX,21,16,33,W4,37,.568
SEA,20,16,15,W1,36,.556
OAK,17,20,-32,L3,37,.459
LAA,13,23,-35,W1,36,.361
HOU,12,23,-27,L3,35,.343
PHI,26,11,54,W7,37,.703
ATL,21,12,36,W1,33,.636
WSH,18,17,-7,W2,35,.514
NYM,18,18,5,W2,36,.500
MIA,10,28,-77,L2,38,.263
MIL,21,14,21,W1,35,.600
CHC,22,15,16,W1,37,.595
PIT,17,20,-21,L1,37,.459
CIN,16,19,0,L6,35,.457
STL,15,21,-35,L4,36,.417
LAD,25,13,72,W6,38,.658
SD,19,20,13,L1,39,.487
ARI,16,20,11,W2,36,.444
SF,16,21,-36,W1,37,.432
COL,8,27,-82,L3,35,.229
