team,wins,losses,run_diff,streak,games_played,win_pct
NYY,39,25,95,L2,64,.609
TB,36,30,50,W2,66,.545
TOR,36,30,0,W1,66,.545
BOS,32,36,15,L1,68,.471
BAL,26,38,-89,L1,64,.406
DET,43,24,92,W1,67,.642
MIN,35,30,37,W1,65,.538
CLE,34,31,-22,L1,65,.523
KC,34,32,-9,W1,66,.515
CWS,22,44,-51,L1,66,.333
HOU,36,29,23,L1,65,.554
SEA,33,32,-4,L1,65,.508
LAA,31,34,-52,W1,65,.477
TEX,31,35,2,W2,66,.470
Athletics,26,42,-118,L1,68,.382
NYM,42,24,88,W3,66,.636
PHI,38,28,16,W1,66,.576
WSH,30,35,-51,L2,65,.462
ATL,28,37,9,W1,65,.431
MIA,24,40,-91,L2,64,.375
CHC,40,26,104,L2,66,.606
STL,36,30,27,L2,66,.545
MIL,35,32,17,L2,67,.522
CIN,34,33,41,W4,67,.507
PIT,27,40,-54,W4,67,.403
LAD,40,27,75,W2,67,.597
SF,38,28,45,W5,66,.576
SD,37,28,17,L1,65,.569
ARI,32,34,-14,W1,66,.485
COL,12,53,-198,L3,65,.185
