team,wins,losses,run_diff,streak,games_played,win_pct
NYY,89,63,133,W3,152,.586
BAL,84,68,71,L3,152,.553
BOS,76,76,0,W1,152,.500
TB,74,78,-60,L1,152,.487
TOR,72,80,-55,L2,152,.474
CLE,88,65,80,W1,153,.575
KC,82,71,98,L4,153,.536
MIN,80,72,35,L1,152,.526
DET,80,73,40,W4,153,.523
CWS,36,117,-313,L2,153,.235
HOU,82,70,89,L1,152,.539
SEA,77,75,43,L2,152,.507
TEX,73,79,-56,W2,152,.480
OAK,67,86,-99,W2,153,.438
LAA,62,90,-132,W2,152,.408
PHI,91,61,118,L1,152,.599
NYM,84,68,84,W3,152,.553
ATL,82,70,73,W1,152,.539
WSH,68,84,-101,L3,152,.447
MIA,56,96,-203,L1,152,.368
MIL,88,64,135,W1,152,.579
CHC,77,75,63,L2,152,.507
STL,77,75,-56,W3,152,.507
CIN,74,79,17,L1,153,.484
PIT,71,81,-64,L3,152,.467
LAD,90,62,117,W1,152,.592
SD,87,66,90,W1,153,.569
ARI,84,68,93,W1,152,.553
SF,74,78,-17,W2,152,.487
COL,59,94,-223,L1,153,.386
