game_date,home_team,away_team,winner
2025-06-28,Yankees,Athletics,Athletics
2025-06-28,Tigers,Twins,Tigers
2025-06-28,Orioles,Rays,Rays
2025-06-28,Pirates,Mets,Pirates
2025-06-28,Rangers,Mariners,Rangers
2025-06-28,D-backs,Marlins,Marlins
2025-06-28,Red Sox,Blue Jays,Red Sox
2025-06-28,White Sox,Giants,White Sox
2025-06-28,Reds,Padres,Padres
2025-06-28,Guardians,Cardinals,Cardinals
2025-06-28,Royals,Dodgers,Royals
2025-06-28,Brewers,Rockies,Brewers
2025-06-28,Braves,Phillies,Braves
2025-06-28,Astros,Cubs,Cubs
2025-06-28,Angels,Nationals,Angels
