team,wins,losses,run_diff,streak,games_played,win_pct
BAL,60,39,91,L1,99,.606
NYY,59,42,101,L2,101,.584
BOS,53,46,34,L3,99,.535
TB,50,49,-58,W2,99,.505
TOR,46,54,-67,W1,100,.460
CLE,59,39,84,L2,98,.602
MIN,54,44,42,L3,98,.551
KC,55,45,74,W3,100,.550
DET,49,51,-3,L1,100,.490
CWS,27,74,-191,L7,101,.267
HOU,52,47,52,L1,99,.525
SEA,53,48,16,W1,101,.525
TEX,47,52,-2,W1,99,.475
LAA,42,57,-100,W1,99,.424
OAK,39,62,-70,L1,101,.386
PHI,63,36,112,W1,99,.636
ATL,54,44,58,L2,98,.551
NYM,50,48,10,L1,98,.510
WSH,47,53,-31,W3,100,.470
MIA,35,64,-149,W1,99,.354
MIL,57,42,84,W3,99,.576
STL,52,47,-31,W2,99,.525
PIT,50,49,-11,L1,99,.505
CHC,48,53,-10,W1,101,.475
CIN,47,53,31,L4,100,.470
LAD,59,41,95,W3,100,.590
ARI,51,49,22,L1,100,.510
SD,52,50,13,W2,102,.510
SF,48,52,-31,W1,100,.480
COL,36,64,-165,L1,100,.360
