team,wins,losses,run_diff,streak,games_played,win_pct
NYY,13,6,20,W1,19,.684
BAL,12,6,27,W4,18,.667
TB,11,9,-17,W1,20,.550
TOR,10,9,-17,L1,19,.526
BOS,10,10,4,L1,20,.500
CLE,13,6,37,W1,19,.684
KC,12,7,40,L1,19,.632
DET,10,9,-4,L2,19,.526
MIN,6,11,-20,L4,17,.353
CWS,3,15,-54,W1,18,.167
TEX,11,9,16,W2,20,.550
LAA,9,10,-6,L1,19,.474
SEA,9,10,-11,W3,19,.474
OAK,8,11,-22,W1,19,.421
HOU,6,14,-23,L3,20,.300
ATL,12,5,29,W4,17,.706
PHI,11,8,-6,W3,19,.579
NYM,10,8,14,W4,18,.556
WSH,8,10,-14,W1,18,.444
MIA,4,15,-35,L1,19,.211
MIL,11,6,25,W1,17,.647
CHC,11,7,15,W1,18,.611
PIT,11,8,11,L3,19,.579
CIN,9,9,10,L3,18,.500
STL,9,10,-9,L1,19,.474
LAD,12,9,12,L1,21,.571
SD,11,10,12,L1,21,.524
ARI,9,11,14,L2,20,.450
SF,9,11,-7,W2,20,.450
COL,4,15,-41,L5,19,.211
