game_date,home_team,away_team,winner
2024-09-17,Orioles,Giants,Giants
2024-09-17,Reds,Braves,Reds
2024-09-17,Guardians,Twins,Twins
2024-09-17,Marlins,Dodgers,Marlins
2024-09-17,Rays,Red Sox,Rays
2024-09-17,Mets,Nationals,Mets
2024-09-17,Royals,Tigers,Tigers
2024-09-17,Brewers,Phillies,Phillies
2024-09-17,Cardinals,Pirates,Cardinals
2024-09-17,Rangers,Blue Jays,Rangers
2024-09-17,Rockies,D-backs,Rockies
2024-09-17,Angels,White Sox,Angels
2024-09-17,Padres,Astros,Astros
2024-09-17,Mariners,Yankees,Yankees
