team,wins,losses,run_diff,streak,games_played,win_pct
BAL,57,36,87,L3,93,.613
NYY,56,39,99,L1,95,.589
BOS,51,42,40,W1,93,.548
TB,46,47,-65,W1,93,.495
TOR,44,50,-52,W2,94,.468
CLE,57,35,87,L2,92,.620
MIN,53,40,52,W1,93,.570
KC,51,43,61,W3,94,.543
DET,45,49,-9,W2,94,.479
CWS,27,68,-165,L1,95,.284
SEA,52,43,22,W3,95,.547
HOU,49,44,49,W3,93,.527
TEX,44,49,9,L1,93,.473
LAA,38,55,-90,L1,93,.409
OAK,35,60,-96,L1,95,.368
PHI,61,32,123,W3,93,.656
ATL,51,41,61,L2,92,.554
NYM,47,45,11,W3,92,.511
WSH,42,52,-36,L5,94,.447
MIA,32,61,-146,L3,93,.344
MIL,54,40,77,L1,94,.574
STL,48,44,-38,L2,92,.522
PIT,45,48,-21,W1,93,.484
CHC,45,49,-5,W4,94,.479
CIN,45,49,32,W1,94,.479
LAD,55,39,90,L4,94,.585
SD,49,47,16,L4,96,.510
ARI,47,47,6,W2,94,.500
SF,45,49,-32,L2,94,.479
COL,33,61,-167,L1,94,.351
