team,wins,losses,run_diff,streak,games_played,win_pct
NYY,82,60,123,W2,142,.577
BAL,82,61,95,L1,143,.573
BOS,72,70,-1,W2,142,.507
TB,70,72,-57,W1,142,.493
TOR,68,75,-53,W1,143,.476
CLE,81,61,74,L1,142,.570
KC,78,65,95,W3,143,.545
MIN,76,66,40,L2,142,.535
DET,72,71,14,W1,143,.503
CWS,32,111,-307,L2,143,.224
HOU,77,65,93,W2,142,.542
SEA,72,71,40,L1,143,.503
TEX,69,74,-42,W1,143,.483
OAK,62,81,-86,L1,143,.434
LAA,59,83,-122,L1,142,.415
PHI,85,57,126,L1,142,.599
NYM,78,64,60,W9,142,.549
ATL,77,65,63,L1,142,.542
WSH,64,78,-73,W2,142,.451
MIA,53,89,-201,W1,142,.373
MIL,82,60,137,W1,142,.577
CHC,72,70,52,L2,142,.507
STL,72,70,-57,W1,142,.507
CIN,68,75,15,L2,143,.476
PIT,66,76,-54,L2,142,.465
LAD,85,57,115,W1,142,.599
SD,81,63,71,L1,144,.563
ARI,79,64,80,L3,143,.552
SF,70,73,-23,W1,143,.490
COL,53,90,-217,L1,143,.371
