team,wins,losses,run_diff,streak,games_played,win_pct
NYY,39,19,97,W2,58,.672
BAL,35,19,69,W1,54,.648
BOS,28,29,19,L2,57,.491
TB,28,29,-48,W2,57,.491
TOR,26,29,-27,W3,55,.473
CLE,37,19,74,L1,56,.661
KC,35,23,80,L1,58,.603
MIN,31,25,3,W1,56,.554
DET,28,28,5,W1,56,.500
CWS,15,42,-127,L8,57,.263
SEA,31,27,-7,L1,58,.534
TEX,27,29,1,W3,56,.482
HOU,25,32,-4,W1,57,.439
OAK,23,35,-62,L2,58,.397
LAA,21,35,-41,L2,56,.375
PHI,39,18,93,W1,57,.684
ATL,31,23,38,L2,54,.574
WSH,26,29,-9,W2,55,.473
NYM,23,33,-36,W1,56,.411
MIA,20,37,-75,W1,57,.351
MIL,33,23,52,W2,56,.589
STL,27,27,-35,W2,54,.500
CHC,28,29,-10,L2,57,.491
PIT,26,30,-29,W1,56,.464
CIN,24,32,-9,L2,56,.429
LAD,36,22,82,W3,58,.621
SF,29,28,-19,L1,57,.509
SD,30,29,5,L1,59,.508
ARI,25,31,-5,L4,56,.446
COL,20,35,-75,W1,55,.364
