team,wins,losses,run_diff,streak,games_played,win_pct
BAL,24,12,53,W1,36,.667
NYY,25,13,54,W5,38,.658
BOS,19,18,34,L2,37,.514
TB,19,19,-31,L1,38,.500
TOR,17,20,-44,W1,37,.459
CLE,24,13,41,W1,37,.649
MIN,21,15,14,W1,36,.583
KC,22,16,46,W1,38,.579
DET,19,18,6,L1,37,.514
CWS,9,28,-89,W1,37,.243
TEX,22,17,29,W1,39,.564
SEA,20,17,12,L1,37,.541
OAK,18,21,-28,L1,39,.462
LAA,14,23,-34,W2,37,.378
HOU,12,24,-32,L4,36,.333
PHI,26,12,52,L1,38,.684
ATL,22,12,41,W2,34,.647
NYM,18,18,5,W2,36,.500
WSH,18,18,-8,L1,36,.500
MIA,10,29,-79,L3,39,.256
MIL,21,15,19,L1,36,.583
CHC,22,16,13,L1,38,.579
PIT,17,21,-22,L2,38,.447
CIN,16,20,-1,L7,36,.444
STL,15,21,-35,L4,36,.417
LAD,26,13,74,W7,39,.667
SD,20,20,16,W1,40,.500
ARI,17,20,12,W3,37,.459
SF,17,21,-34,W2,38,.447
COL,8,28,-84,L4,36,.222
