game_date,home_team,away_team,winner
2024-07-26,Tigers,Twins,Twins
2024-07-26,Phillies,Guardians,Guardians
2024-07-26,Rays,Reds,Reds
2024-07-26,Orioles,Padres,Padres
2024-07-26,Blue Jays,Rangers,Blue Jays
2024-07-26,Red Sox,Yankees,Red Sox
2024-07-26,Mets,Braves,Mets
2024-07-26,White Sox,Mariners,Mariners
2024-07-26,Astros,Dodgers,Astros
2024-07-26,Royals,Cubs,Royals
2024-07-26,Brewers,Marlins,Marlins
2024-07-26,Cardinals,Nationals,Nationals
2024-07-26,D-backs,Pirates,D-backs
2024-07-26,Giants,Rockies,Giants
