team,wins,losses,run_diff,streak,games_played,win_pct
NYY,5,1,6,L1,6,.833
BOS,4,2,14,W3,6,.667
BAL,3,2,13,L1,5,.600
TB,3,3,-6,W1,6,.500
TOR,3,3,-6,W1,6,.500
DET,4,0,8,W4,4,1.000
CLE,4,2,20,W1,6,.667
MIN,2,2,-5,L2,4,.500
KC,2,3,5,W1,5,.400
CWS,1,4,-11,W1,5,.200
LAA,3,2,-9,W3,5,.600
TEX,3,2,9,L1,5,.600
SEA,3,3,-6,L1,6,.500
HOU,1,5,-1,L1,6,.167
OAK,1,5,-28,L2,6,.167
ATL,3,2,21,L1,5,.600
PHI,2,3,-11,W1,5,.400
WSH,1,3,-10,L2,4,.250
NYM,0,4,-11,L4,4,.000
MIA,0,6,-19,L6,6,.000
PIT,5,0,18,W5,5,1.000
MIL,4,0,7,W4,4,1.000
CHC,3,2,9,W3,5,.600
CIN,3,2,4,L1,5,.600
STL,3,3,-2,W2,6,.500
LAD,6,2,14,W3,8,.750
ARI,4,2,22,W1,6,.667
SD,3,5,-3,L2,8,.375
SF,2,4,-9,L3,6,.333
COL,1,5,-33,L3,6,.167
