team,wins,losses,run_diff,streak,games_played,win_pct
BAL,63,44,83,L1,107,.589
NYY,63,45,116,W3,108,.583
BOS,56,50,26,W1,106,.528
TB,54,52,-50,W2,106,.509
TOR,51,57,-72,W1,108,.472
CLE,64,42,76,W2,106,.604
MIN,58,47,38,L1,105,.552
KC,58,49,74,W1,107,.542
DET,52,56,-6,L2,108,.481
CWS,27,82,-221,L15,109,.248
HOU,55,51,49,L2,106,.519
SEA,56,52,18,L1,108,.519
TEX,52,55,3,W1,107,.486
LAA,46,60,-95,W1,106,.434
OAK,44,64,-65,L1,108,.407
PHI,65,41,104,L2,106,.613
ATL,56,49,51,L1,105,.533
NYM,56,50,29,W1,106,.528
WSH,49,58,-36,L2,107,.458
MIA,39,67,-142,L1,106,.368
MIL,61,45,85,W2,106,.575
PIT,54,52,-8,W2,106,.509
STL,54,52,-51,L1,106,.509
CIN,51,55,41,W1,106,.481
CHC,51,57,-13,L1,108,.472
LAD,63,44,94,W1,107,.589
SD,57,51,34,L1,108,.528
ARI,56,51,27,W1,107,.523
SF,53,55,-16,W4,108,.491
COL,38,69,-173,L4,107,.355
