team,wins,losses,run_diff,streak,games_played,win_pct
BAL,56,32,114,W1,88,.636
NYY,54,36,94,L4,90,.600
BOS,48,40,40,W5,88,.545
TB,44,44,-55,L1,88,.500
TOR,40,49,-59,L3,89,.449
CLE,54,32,95,L1,86,.628
MIN,49,39,44,L1,88,.557
KC,48,42,49,L2,90,.533
DET,40,48,-25,W1,88,.455
CWS,26,64,-160,W1,90,.289
SEA,49,41,6,W2,90,.544
HOU,46,42,44,W3,88,.523
TEX,40,48,-4,W1,88,.455
LAA,36,51,-80,L5,87,.414
OAK,33,57,-97,L1,90,.367
PHI,58,30,119,W1,88,.659
ATL,47,39,49,L2,86,.547
NYM,42,44,0,L3,86,.488
WSH,41,47,-20,L1,88,.466
MIA,30,58,-138,L5,88,.341
MIL,52,37,74,L2,89,.584
STL,46,41,-36,W2,87,.529
PIT,42,45,-25,W1,87,.483
CIN,42,46,20,L1,88,.477
CHC,41,48,-22,W2,89,.461
LAD,54,35,109,W1,89,.607
SD,49,43,33,W3,92,.533
SF,44,45,-25,W2,89,.494
ARI,43,45,-2,L1,88,.489
COL,31,57,-142,W2,88,.352
