full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Kyle Gibson,486,86.11,2201.16,6.94,24,0,69.71,13.85,81.25,7.51,5
Michael Lorenzen,448,88.65,2375.04,5.8,22,0,69.69,18.28,83.22,7.2,6
Jameson Taillon,522,86.96,2418.58,6.58,28,0,70.67,20.43,85.07,7.41,6
Zach Eflin,562,87.35,2199.75,6.59,28,0,68.09,11.24,81.72,7.18,6
Zack Littell,447,87.21,1823.31,6.2,22,0,70.37,19.47,82.48,7.35,5
Bailey Ober,456,87.25,2150.4,7.17,36,0,69.56,22.89,81.96,7.39,5
Aaron Civale,456,86.54,2586.68,5.74,24,0,69.21,19.46,80.18,7.25,5
Jack Flaherty,376,86.89,2360.65,6.58,25,0,69.72,17.16,80.56,7.47,4
Grant Holmes,328,89.49,2561.96,5.97,24,0,69.21,17.66,83.38,7.32,7
Tanner Houck,449,87.26,2274.61,5.96,17,0,71.29,4.35,84.73,7.52,5
Mitch Keller,418,89.37,2523.16,6.54,21,0,69.75,18.21,82.73,7.05,5
Jordan Montgomery,198,86.04,2080.92,6.65,6,0,69.36,13.84,83.58,7.67,3
David Peterson,447,88.85,2123.85,7.04,24,0,68.5,9.3,82.52,7.05,5
Tyler Holton,289,87.19,2255.2,6.42,16,0,69.29,10.22,80.23,7.22,11
Kyle Tyler,329,85.39,2274.23,6.94,15,0,69.21,13.7,79.97,7.18,4
Hunter Greene,513,92.87,2314.39,6.44,40,0,69.03,29.28,80.49,7.13,5
Ronel Blanco,465,88.2,2072.14,6.75,33,0,70.22,21.99,83.7,7.6,5
Cody Bradford,105,86.3,2051.51,7.15,7,0,69.04,17.16,83.95,6.96,2
Joey Cantillo,163,86.03,1947.7,7.43,7,0,69.12,16.94,84.52,7.29,2
Garrett Crochet,336,94.95,2562.43,6.99,21,0,70.09,13.29,81.74,6.99,5
Bryce Miller,439,91.07,2157.31,6.38,22,0,70.24,26.03,84.99,6.96,5
Tanner Gordon,324,88.79,2169.55,6.38,16,0,69.11,25.38,82.63,7.11,4
Mitch Spence,470,87.75,2486.78,6.22,23,0,70.4,11.98,83.95,7.26,5
DJ Herz,337,90.33,2332.07,6.72,22,0,67.78,23.89,82.72,6.98,4
Orion Kerkering,181,90.82,2669.08,6.33,10,0,68.3,13.85,83.98,7.06,12
Kyle Harrison,427,87.05,2083.79,6.65,26,0,69.45,19.24,83.96,7.05,5
