full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Justin Verlander,83,88.3,2488.86,6.13,6,0,69.22,21.58,86.36,7.28,1
Chris Sale,519,87.0,2313.96,6.57,42,0,67.19,14.31,79.01,7.25,5
Sonny Gray,436,87.81,2456.59,6.52,33,0,69.15,11.43,83.79,7.17,5
Patrick Corbin,522,85.72,2156.52,6.77,24,0,70.25,17.24,84.34,7.51,6
Andrew Heaney,407,86.05,2368.16,6.32,21,0,69.86,21.66,84.02,6.92,5
Jameson Taillon,442,86.22,2360.36,6.65,23,0,69.92,26.58,79.99,7.35,5
Paul Blackburn,235,86.21,2346.38,6.26,8,0,71.39,11.51,83.95,7.37,4
Luis Severino,596,91.24,2289.82,6.26,21,0,69.26,17.35,82.13,6.95,6
Eric Lauer,360,87.69,2181.77,6.03,22,0,71.17,25.16,83.59,7.15,6
Bailey Ober,501,85.21,2099.39,7.27,22,0,69.62,26.27,83.15,7.47,6
Ryan Yarbrough,476,81.5,2018.93,6.17,29,0,70.25,20.83,83.12,7.23,6
Kris Bubic,479,87.82,2310.09,6.75,32,0,70.39,16.88,81.87,7.2,5
Stephen Kolek,550,90.62,2229.78,6.37,22,0,70.3,13.76,84.96,6.9,6
Framber Valdez,475,88.25,2453.01,5.92,40,0,68.35,0.18,83.57,7.34,5
Nick Lodolo,523,89.28,2284.31,6.22,31,0,69.9,14.66,83.58,7.3,6
Tarik Skubal,470,93.76,2195.26,6.53,40,0,68.77,19.7,80.15,7.03,5
Trevor Rogers,158,89.41,2142.96,6.75,9,0,72.21,22.84,86.09,7.34,2
Logan Allen,444,85.08,1954.31,6.29,19,0,70.1,15.25,80.32,7.35,6
Taj Bradley,487,92.05,2231.48,6.31,32,0,69.47,8.63,82.98,7.02,6
Garrett Crochet,605,92.48,2479.8,6.78,52,0,70.36,18.06,82.31,7.3,6
Mitchell Parker,486,88.83,2055.79,6.9,26,0,69.82,18.47,87.11,7.18,6
Sean Burke,348,87.83,2479.09,7.04,21,0,69.4,24.6,83.49,7.16,4
Emmet Sheehan,65,89.81,2096.54,6.56,6,0,64.81,22.46,81.93,6.97,1
Jack Kochanowicz,493,92.65,2288.9,6.45,29,0,71.46,10.33,87.32,7.41,6
Jacob Misiorowski,81,95.83,2517.9,7.47,5,0,69.67,28.91,83.67,6.96,1
Adam Mazur,97,88.28,2257.64,5.98,5,0,70.85,16.78,83.87,7.47,1
