game_date,home_team,away_team,winner
2024-04-27,Blue Jays,Dodgers,Dodgers
2024-04-27,Mets,Cardinals,Cardinals
2024-04-27,Rangers,Reds,Reds
2024-04-27,Red Sox,Cubs,Red Sox
2024-04-27,Marlins,Nationals,Nationals
2024-04-27,Rockies,Astros,Astros
2024-04-27,Tigers,Royals,Tigers
2024-04-27,White Sox,Rays,White Sox
2024-04-27,Brewers,Yankees,Yankees
2024-04-27,Braves,Guardians,Guardians
2024-04-27,Padres,Phillies,Phillies
2024-04-27,Giants,Pirates,Pirates
2024-04-27,Angels,Twins,Twins
2024-04-27,Mariners,D-backs,Mariners
