game_date,home_team,away_team,winner
2024-09-10,Tigers,Rockies,Tigers
2024-09-10,Phillies,Rays,Phillies
2024-09-10,Pirates,Marlins,Pirates
2024-09-10,Nationals,Braves,Braves
2024-09-10,Yankees,Royals,Royals
2024-09-10,Blue Jays,Mets,Blue Jays
2024-09-10,Red Sox,Orioles,Orioles
2024-09-10,White Sox,Guardians,Guardians
2024-09-10,Twins,Angels,Twins
2024-09-10,Cardinals,Reds,Reds
2024-09-10,D-backs,Rangers,D-backs
2024-09-10,Mariners,Padres,Padres
2024-09-10,Giants,Brewers,Brewers
2024-09-10,Dodgers,Cubs,Cubs
