game_date,home_team,away_team,winner
2025-06-29,Guardians,Cardinals,Cardinals
2025-06-29,Braves,Phillies,Phillies
2025-06-29,Orioles,Rays,Orioles
2025-06-29,Red Sox,Blue Jays,Blue Jays
2025-06-29,Yankees,Athletics,Yankees
2025-06-29,Pirates,Mets,Pirates
2025-06-29,Reds,Padres,Reds
2025-06-29,White Sox,Giants,White Sox
2025-06-29,Astros,Cubs,Astros
2025-06-29,Royals,Dodgers,Dodgers
2025-06-29,Brewers,Rockies,Rockies
2025-06-29,Rangers,Mariners,Mariners
2025-06-29,Angels,Nationals,Nationals
2025-06-29,D-backs,Marlins,Marlins
2025-06-29,Tigers,Twins,Tigers
