game_date,home_team,away_team,winner
2024-07-07,Braves,Phillies,Braves
2024-07-07,Pirates,Mets,Mets
2024-07-07,Nationals,Cardinals,Cardinals
2024-07-07,Reds,Tigers,Tigers
2024-07-07,Guardians,Giants,Guardians
2024-07-07,Marlins,White Sox,Marlins
2024-07-07,Twins,Astros,Twins
2024-07-07,Cubs,Angels,Cubs
2024-07-07,Rangers,Rays,Rangers
2024-07-07,Rockies,Royals,Royals
2024-07-07,Dodgers,Brewers,Brewers
2024-07-07,Padres,D-backs,D-backs
2024-07-07,Mariners,Blue Jays,Blue Jays
2024-07-07,Yankees,Red Sox,Red Sox
