game_date,home_team,away_team,winner
2024-07-10,White Sox,Twins,Twins
2024-07-10,Cardinals,Royals,Royals
2024-07-10,White Sox,Twins,White Sox
2024-07-10,Orioles,Cubs,Cubs
2024-07-10,Tigers,Guardians,Tigers
2024-07-10,Padres,Mariners,Mariners
2024-07-10,Rays,Yankees,Yankees
2024-07-10,Phillies,Dodgers,Phillies
2024-07-10,Reds,Rockies,Rockies
2024-07-10,Mets,Nationals,Mets
2024-07-10,Cardinals,Royals,Royals
2024-07-10,Astros,Marlins,Astros
2024-07-10,Brewers,Pirates,Brewers
2024-07-10,Angels,Rangers,Angels
2024-07-10,D-backs,Braves,D-backs
2024-07-10,Giants,Blue Jays,Blue Jays
