full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Kyle Gibson,238,86.65,2167.15,6.78,15,0,,9.73,86.46,,3
James Paxton,177,88.93,2055.56,6.63,7,0,,20.9,84.47,,2
Marco Gonzales,198,85.79,2030.46,6.55,5,0,,14.18,85.18,,3
Michael Wacha,72,86.27,1944.88,6.61,5,0,,13.55,81.11,,1
Chris Flexen,85,84.81,1963.47,6.47,2,0,,20.55,83.19,,2
Sean Manaea,239,89.03,2040.76,7.21,21,0,,14.94,81.05,,3
Dane Dunning,159,86.27,2128.52,7.36,17,0,,12.79,83.07,,3
Dakota Hudson,246,88.35,2106.09,6.46,10,0,,10.95,84.04,,3
Tanner Houck,83,87.93,2179.29,6.12,14,0,,-1.35,82.59,,2
Luis Gil,203,93.6,2330.56,6.63,15,0,,17.38,83.22,,3
Matt Waldron,91,83.21,2041.16,6.6,7,0,,26.06,76.28,,1
Triston McKenzie,161,85.72,2207.0,6.6,12,0,,17.59,82.04,,3
Dean Kremer,85,87.48,2211.92,6.38,13,0,,17.59,83.3,,3
MacKenzie Gore,101,91.51,2169.46,7.22,16,0,,22.73,81.25,,2
Ryne Nelson,149,90.38,2285.48,7.02,14,0,,29.83,84.74,,3
Ronel Blanco,169,88.04,1950.04,6.73,17,0,,21.33,81.41,,3
Bowden Francis,79,84.6,2396.99,6.8,10,0,,5.42,84.66,,2
Andrew Abbott,90,87.59,2422.13,6.56,4,0,,28.08,78.22,,1
Joe Boyle,84,92.7,2563.87,6.77,13,0,,16.85,87.83,,3
Emerson Hancock,135,90.2,2160.75,6.45,3,0,,23.02,81.87,,3
Keaton Winn,131,91.56,2018.16,6.18,9,0,,12.31,83.01,,3
Max Meyer,79,90.73,2366.9,6.29,4,0,,14.26,88.97,,1
Chase Silseth,169,88.66,2263.64,5.89,15,0,,17.76,80.05,,2
Reese Olson,158,89.73,2220.11,5.93,7,0,,7.16,81.41,,2
Shota Imanaga,165,88.56,2043.36,6.4,15,0,,33.88,84.36,,2
Ryan Pepiot,309,90.26,2435.03,6.76,21,0,,27.36,81.54,,4
