full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Merrill Kelly,501,89.42,2333.65,6.04,28,0,70.89,15.53,85.84,7.44,6
Kyle Hendricks,502,82.79,2239.09,5.55,18,0,68.74,15.98,78.76,7.12,6
Miles Mikolas,480,88.74,2244.32,6.38,21,0,69.69,20.96,81.89,7.06,6
Max Fried,572,87.1,2320.7,6.61,38,0,69.6,1.92,81.21,7.16,6
Cal Quantrill,339,88.34,1984.47,6.5,12,0,68.67,15.38,80.77,6.98,4
Walker Buehler,445,88.28,2365.73,6.57,28,0,69.22,17.37,81.75,7.08,5
Chris Flexen,570,84.78,2128.83,6.28,31,0,70.29,23.04,82.24,7.35,6
Sean Manaea,579,88.2,2018.78,6.89,45,0,67.56,24.83,81.59,6.85,6
Dane Dunning,155,85.33,2124.39,6.99,5,0,72.1,0.88,83.72,7.28,3
Aaron Civale,512,86.88,2582.03,5.62,27,0,70.64,23.95,82.97,7.32,6
Brady Singer,569,87.85,2426.25,7.05,29,0,70.14,13.08,85.16,7.29,6
MacKenzie Gore,549,91.07,2257.53,6.86,36,0,69.37,18.68,83.4,7.06,6
Ronel Blanco,430,88.64,2121.53,6.8,27,0,69.73,22.44,83.77,7.36,5
Adam Oller,525,89.13,2185.34,6.44,31,0,68.89,20.4,84.7,7.14,6
Taj Bradley,562,92.48,2122.19,6.46,32,0,69.45,20.8,82.71,7.1,6
Reid Detmers,363,87.87,2153.35,6.27,27,0,69.35,18.22,82.97,7.35,4
Emerson Hancock,169,89.95,2250.44,6.24,8,0,70.2,29.25,81.98,7.16,2
JP Sears,542,86.23,2041.81,6.41,23,0,70.55,21.3,83.2,7.26,6
Kutter Crawford,458,86.79,2372.25,6.02,27,0,69.95,21.75,82.97,7.29,5
Reese Olson,108,89.34,2340.69,5.99,6,0,69.7,8.89,79.83,7.51,2
Jared Jones,449,92.22,2548.55,6.71,27,0,69.47,21.32,83.77,7.21,5
Landen Roupp,393,86.35,2444.89,6.39,21,0,69.67,12.91,82.1,7.46,8
Rhett Lowder,407,89.44,2318.03,6.11,21,0,69.73,15.67,83.78,7.05,5
Cade Povich,523,86.55,2234.0,6.33,36,0,69.95,24.94,82.31,7.31,6
