full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Justin Verlander,437,87.74,2374.39,5.99,14,0,69.52,19.9,84.24,7.36,5
Max Scherzer,73,86.25,2238.32,6.23,2,0,68.78,22.72,80.54,7.29,1
Kyle Gibson,474,86.92,2179.31,6.93,23,0,70.31,10.98,81.73,7.54,5
Chris Sale,605,87.02,2225.39,6.49,41,0,68.16,14.72,82.37,7.28,6
Tyler Anderson,464,84.48,2132.88,6.1,19,0,69.85,20.27,81.32,7.43,5
Gerrit Cole,530,90.49,2448.04,6.18,35,0,69.23,23.5,83.79,7.08,6
Patrick Corbin,584,85.69,2175.97,6.67,35,0,70.15,10.53,82.44,7.31,6
Jameson Taillon,457,87.04,2427.94,6.59,23,0,70.59,21.07,84.41,7.28,5
Joe Musgrove,501,87.76,2734.97,6.01,41,0,70.72,19.28,82.82,7.15,6
Kyle Freeland,553,88.11,2212.82,6.64,23,0,70.87,17.69,82.41,7.38,6
Michael Wacha,550,86.83,1955.87,6.77,39,0,68.45,22.93,80.62,7.23,6
Luis Severino,583,91.96,2271.86,6.33,40,0,69.32,23.04,81.85,7.05,6
Chris Flexen,547,84.76,2144.17,6.3,29,0,70.21,21.05,81.44,7.37,6
Jack Flaherty,562,87.12,2315.7,6.49,34,0,68.78,18.51,81.47,7.33,6
Mitch Keller,463,88.96,2516.25,6.53,34,0,68.2,18.12,83.71,6.96,5
Drew Rasmussen,246,94.18,2573.76,6.58,17,0,67.72,16.05,82.39,6.84,9
Kolby Allard,148,84.4,1912.45,6.03,8,0,73.64,14.31,83.98,7.55,2
Tobias Myers,558,88.5,2170.65,6.62,31,0,71.12,17.65,83.26,7.32,6
Corbin Burnes,562,90.2,2696.25,6.51,27,0,68.19,9.24,81.75,7.4,6
Logan Gilbert,586,90.65,1945.3,7.5,49,0,69.12,11.41,82.29,7.44,6
Joey Cantillo,283,85.32,1882.28,7.42,22,0,68.89,17.47,78.76,7.33,4
Valente Bellozo,508,81.82,2300.37,5.94,16,0,70.24,25.96,82.77,7.17,6
Brayan Bello,572,91.5,2121.39,6.3,28,0,70.96,8.35,83.56,7.37,6
Simeon Woods Richardson,480,86.94,2275.15,6.61,18,0,68.55,26.32,80.48,7.11,6
Beau Brieske,265,92.64,2397.52,6.08,13,0,70.49,15.55,82.06,7.3,12
Brandon Pfaadt,432,90.01,2553.42,6.66,24,0,70.37,12.74,83.1,7.26,5
Mason Black,246,89.79,2190.95,6.95,13,0,67.77,26.53,81.74,6.8,3
