team,wins,losses,run_diff,streak,games_played,win_pct
BAL,21,11,44,W2,32,.656
NYY,21,13,37,W1,34,.618
BOS,18,15,36,L2,33,.545
TB,15,18,-41,W1,33,.455
TOR,15,18,-37,L3,33,.455
CLE,20,12,34,L2,32,.625
KC,20,13,56,W3,33,.606
MIN,18,13,18,W11,31,.581
DET,18,14,9,L1,32,.563
CWS,6,26,-87,L4,32,.188
SEA,17,15,7,L2,32,.531
TEX,17,16,12,L1,33,.515
OAK,16,17,-30,W5,33,.485
HOU,12,20,-14,W2,32,.375
LAA,12,20,-32,W1,32,.375
PHI,22,11,28,W3,33,.667
ATL,20,10,47,L1,30,.667
NYM,16,16,5,L1,32,.500
WSH,16,16,-10,W1,32,.500
MIA,9,25,-61,L1,34,.265
MIL,20,11,27,W3,31,.645
CHC,19,14,12,L2,33,.576
CIN,16,16,15,L3,32,.500
STL,15,17,-27,W1,32,.469
PIT,14,19,-18,L5,33,.424
LAD,21,13,50,W2,34,.618
SD,17,18,6,W3,35,.486
SF,15,18,-24,L1,33,.455
ARI,14,19,12,L2,33,.424
COL,8,24,-74,W1,32,.250
