team,wins,losses,run_diff,streak,games_played,win_pct
NYY,42,29,102,L4,71,.592
TB,40,32,68,W4,72,.556
TOR,38,33,-12,L3,71,.535
BOS,38,36,24,W6,74,.514
BAL,30,41,-79,L1,71,.423
DET,46,27,80,L2,73,.630
MIN,36,35,7,L4,71,.507
CLE,35,35,-26,L3,70,.500
KC,34,38,-28,L6,72,.472
CWS,23,49,-62,L5,72,.319
HOU,41,31,37,L1,72,.569
SEA,36,35,-4,L1,71,.507
TEX,36,36,27,W4,72,.500
LAA,34,37,-61,W1,71,.479
Athletics,30,44,-111,W4,74,.405
NYM,45,27,80,L3,72,.625
PHI,43,29,36,W5,72,.597
ATL,31,39,12,L1,70,.443
WSH,30,42,-65,L9,72,.417
MIA,28,42,-91,L1,70,.400
CHC,44,28,105,W2,72,.611
MIL,39,34,21,W1,73,.534
CIN,37,35,41,W2,72,.514
STL,37,35,18,L1,72,.514
PIT,29,44,-54,L2,73,.397
LAD,44,29,74,W3,73,.603
SF,41,31,45,L2,72,.569
SD,39,32,22,L1,71,.549
ARI,36,35,-5,L1,71,.507
COL,15,57,-201,W2,72,.208
