team,wins,losses,run_diff,streak,games_played,win_pct
NYY,42,19,107,W5,61,.689
BAL,38,20,79,W1,58,.655
BOS,30,30,22,L1,60,.500
TB,29,31,-53,W1,60,.483
TOR,28,31,-36,L1,59,.475
CLE,39,20,78,L1,59,.661
KC,36,25,74,W1,61,.590
MIN,33,26,6,W1,59,.559
DET,30,30,3,W2,60,.500
CWS,15,45,-138,L11,60,.250
SEA,34,27,7,W3,61,.557
TEX,29,31,7,L1,60,.483
HOU,27,34,-4,W1,61,.443
OAK,24,37,-64,L1,61,.393
LAA,22,38,-54,W1,60,.367
PHI,42,19,101,W1,61,.689
ATL,33,24,40,W1,57,.579
WSH,27,32,-14,L1,59,.458
NYM,25,35,-40,W1,60,.417
MIA,21,39,-82,L2,60,.350
MIL,36,24,61,L1,60,.600
CHC,29,31,-12,L1,60,.483
STL,28,30,-44,L1,58,.483
PIT,27,32,-25,L1,59,.458
CIN,27,33,3,W2,60,.450
LAD,38,23,86,W2,61,.623
SD,32,31,10,L2,63,.508
SF,29,32,-31,L5,61,.475
ARI,28,32,2,W3,60,.467
COL,21,38,-89,L3,59,.356
