team,wins,losses,run_diff,streak,games_played,win_pct
NYY,42,25,107,W3,67,.627
TOR,38,30,4,W3,68,.559
TB,36,32,47,L2,68,.529
BOS,34,36,18,W2,70,.486
BAL,27,40,-85,L1,67,.403
DET,45,25,88,W1,70,.643
MIN,36,32,16,L1,68,.529
CLE,35,32,-14,W1,67,.522
KC,34,35,-21,L3,69,.493
CWS,23,46,-58,L2,69,.333
HOU,38,30,30,W2,68,.559
LAA,33,34,-50,W3,67,.493
SEA,33,34,-14,L3,67,.493
TEX,33,36,23,W1,69,.478
Athletics,26,44,-120,L3,70,.371
NYM,45,24,95,W6,69,.652
PHI,39,29,17,W1,68,.574
WSH,30,38,-58,L5,68,.441
ATL,29,38,10,W1,67,.433
MIA,25,41,-93,L1,66,.379
CHC,42,27,104,W1,69,.609
MIL,37,33,22,W1,70,.529
STL,36,33,17,L5,69,.522
CIN,35,34,33,L1,69,.507
PIT,28,42,-53,L1,70,.400
LAD,41,28,68,W1,69,.594
SF,40,29,48,L1,69,.580
SD,38,29,24,L1,67,.567
ARI,34,34,-4,W3,68,.500
COL,13,55,-201,W1,68,.191
