team,wins,losses,run_diff,streak,games_played,win_pct
NYY,31,15,69,W5,46,.674
BAL,28,14,56,W2,42,.667
TB,24,22,-27,W3,46,.522
BOS,22,23,25,L3,45,.489
TOR,19,24,-48,L2,43,.442
CLE,28,17,49,W1,45,.622
KC,27,19,49,W1,46,.587
MIN,24,20,13,L4,44,.545
DET,22,22,14,W1,44,.500
CWS,14,31,-89,L1,45,.311
SEA,24,21,3,L1,45,.533
TEX,23,23,8,L1,46,.500
HOU,20,25,-9,W6,45,.444
OAK,19,28,-54,L6,47,.404
LAA,17,28,-32,W2,45,.378
PHI,32,14,73,W1,46,.696
ATL,26,15,46,L2,41,.634
WSH,20,23,-12,L3,43,.465
NYM,20,24,-16,L1,44,.455
MIA,14,32,-79,W3,46,.304
MIL,26,18,41,L1,44,.591
CHC,25,21,8,L2,46,.543
PIT,21,25,-27,W2,46,.457
STL,19,25,-46,W1,44,.432
CIN,19,26,-2,L1,45,.422
LAD,30,17,80,W1,47,.638
SD,23,24,6,W1,47,.489
ARI,21,24,2,L1,45,.467
SF,21,25,-41,W2,46,.457
COL,15,29,-60,L1,44,.341
