game_date,home_team,away_team,winner
2024-04-24,Cardinals,D-backs,Cardinals
2024-04-24,Giants,Mets,Mets
2024-04-24,Angels,Orioles,Orioles
2024-04-24,Guardians,Red Sox,Red Sox
2024-04-24,Reds,Phillies,Reds
2024-04-24,Pirates,Brewers,Brewers
2024-04-24,Nationals,Dodgers,Dodgers
2024-04-24,Rays,Tigers,Rays
2024-04-24,Braves,Marlins,Braves
2024-04-24,Cubs,Astros,Cubs
2024-04-24,Royals,Blue Jays,Royals
2024-04-24,Twins,White Sox,Twins
2024-04-24,Rangers,Mariners,Rangers
2024-04-24,Rockies,Padres,Padres
