game_date,home_team,away_team,winner
2025-07-18,Cubs,Red Sox,Cubs
2025-07-18,Pirates,White Sox,White Sox
2025-07-18,Phillies,Angels,Angels
2025-07-18,Nationals,Padres,Padres
2025-07-18,Blue Jays,Giants,Blue Jays
2025-07-18,Guardians,Athletics,Guardians
2025-07-18,Marlins,Royals,Marlins
2025-07-18,Mets,Reds,Reds
2025-07-18,Braves,Yankees,Braves
2025-07-18,Rays,Orioles,Rays
2025-07-18,Rangers,Tigers,Rangers
2025-07-18,Rockies,Twins,Rockies
2025-07-18,D-backs,Cardinals,D-backs
2025-07-18,Dodgers,Brewers,Brewers
2025-07-18,Mariners,Astros,Mariners
