full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Max Scherzer,83,87.18,2280.53,6.5,4,0,68.5,15.0,83.29,7.01,1
Zack Wheeler,502,92.64,2482.56,7.18,38,0,69.47,18.23,81.85,6.96,5
Yusei Kikuchi,596,88.63,2204.34,6.68,44,0,71.19,21.37,84.66,7.33,6
Jacob deGrom,498,92.86,2508.15,6.71,32,0,69.61,20.19,83.95,7.32,6
Nick Pivetta,524,87.62,2484.84,6.81,38,0,68.13,26.63,83.43,7.08,6
Clay Holmes,561,88.68,2302.44,5.82,22,0,70.6,13.09,84.34,7.28,6
Erick Fedde,531,88.84,2137.65,6.65,23,0,68.89,19.27,82.25,7.08,6
Max Fried,586,88.07,2441.4,6.5,37,0,70.34,11.85,81.8,7.15,6
Michael Wacha,477,86.02,1945.68,6.7,30,0,68.96,19.52,79.79,7.33,5
Jack Flaherty,548,87.07,2300.8,6.5,36,0,69.9,25.49,83.28,7.35,6
Drew Rasmussen,468,92.89,2495.66,6.59,29,0,69.96,17.41,84.22,6.85,6
Logan Webb,603,89.12,2055.75,6.77,45,0,68.89,12.25,82.99,6.91,6
Joe Ryan,561,90.29,2322.35,6.69,37,0,69.69,22.33,81.85,7.07,6
Brady Singer,574,87.62,2394.45,6.95,30,0,69.87,13.38,83.48,7.2,6
Edward Cabrera,388,92.49,2287.81,6.51,26,0,69.42,12.22,84.75,7.49,5
Zac Gallen,549,88.43,2242.88,6.53,25,0,69.15,10.71,85.18,7.26,6
Gavin Williams,582,89.82,2312.46,6.59,22,0,69.69,12.29,84.17,7.25,6
MacKenzie Gore,578,89.77,2246.66,6.88,36,0,68.24,19.99,82.46,7.0,6
George Kirby,545,91.6,2200.62,6.52,32,0,70.11,20.88,82.02,7.06,6
Colton Gordon,423,85.9,2304.44,6.88,24,0,69.97,25.1,81.32,7.44,5
Sean Burke,442,88.41,2494.91,7.07,28,0,69.17,24.34,83.12,7.19,5
Jacob Lopez,526,85.25,2210.18,6.98,38,0,69.46,25.37,79.37,7.46,6
Brandon Young,61,87.41,2042.95,6.63,2,0,70.64,15.57,85.77,7.0,1
Richard Fitts,166,91.14,2438.54,6.63,8,0,69.08,29.53,85.41,6.97,3
Jacob Misiorowski,241,96.45,2533.34,7.56,19,0,69.53,25.72,82.34,6.93,3
Paul Skenes,570,92.89,2110.1,6.64,39,0,69.07,14.06,82.46,7.33,6
Didier Fuentes,161,90.04,2355.83,6.72,4,0,71.92,24.98,86.76,7.09,2
Chase Dollander,392,91.61,2527.68,6.18,11,0,70.54,18.68,84.27,6.96,5
Yoshinobu Yamamoto,536,90.06,2111.35,6.52,33,0,69.27,10.72,82.4,7.19,6
