team,wins,losses,run_diff,streak,games_played,win_pct
BAL,61,42,84,L1,103,.592
NYY,60,45,97,L3,105,.571
BOS,55,48,28,W1,103,.534
TB,52,52,-55,L1,104,.500
TOR,48,56,-78,W1,104,.462
CLE,62,41,79,W1,103,.602
MIN,57,45,51,W2,102,.559
KC,57,47,80,W1,104,.548
DET,51,54,-2,L1,105,.486
CWS,27,79,-212,L12,106,.255
HOU,54,49,54,W2,103,.524
SEA,54,51,19,W1,105,.514
TEX,51,53,8,L1,104,.490
LAA,45,59,-95,L2,104,.433
OAK,43,63,-65,W2,106,.406
PHI,64,39,107,L2,103,.621
NYM,55,48,27,W5,103,.534
ATL,54,48,45,L6,102,.529
WSH,48,56,-45,W1,104,.462
MIA,38,66,-142,W1,104,.365
MIL,59,44,80,L1,103,.573
STL,53,50,-38,L2,103,.515
PIT,52,51,-7,L1,103,.505
CIN,50,53,40,W3,103,.485
CHC,49,56,-16,L3,105,.467
LAD,62,43,91,L1,105,.590
SD,56,50,31,W6,106,.528
ARI,54,50,23,W3,104,.519
SF,50,55,-25,W1,105,.476
COL,38,66,-164,L1,104,.365
