mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
502671,paul goldschmidt,NYY,88.62,70.2,7.59,17,0,2,8.0,66.0,381.0,0.29,0.43
514888,josé altuve,HOU,88.39,72.7,8.17,17,0,0,17.0,68.0,424.0,0.28,0.46
518692,freddie freeman,LAD,80.25,69.8,6.77,9,0,0,10.0,85.0,380.0,0.3,0.47
521692,salvador pérez,KC,76.84,69.86,8.13,20,0,3,18.0,77.0,407.0,0.26,0.47
527038,wilmer flores,SF,88.45,68.97,6.8,15,0,2,12.0,64.0,359.0,0.24,0.38
542303,marcell ozuna,ATL,88.25,73.05,6.84,16,1,1,13.0,90.0,395.0,0.24,0.39
543760,marcus semien,TEX,80.67,66.17,7.67,15,0,1,13.0,80.0,424.0,0.23,0.37
543807,george springer,TOR,83.25,69.37,7.12,20,0,3,17.0,72.0,388.0,0.28,0.5
553993,eugenio suárez,AZ,80.99,69.25,7.42,14,0,2,36.0,110.0,416.0,0.25,0.59
571448,nolan arenado,STL,71.68,65.77,8.17,20,0,2,10.0,36.0,375.0,0.24,0.38
572233,christian walker,HOU,96.02,68.0,7.07,19,0,0,13.0,112.0,410.0,0.24,0.38
573262,mike yastrzemski,SF,89.2,70.21,8.11,18,0,2,8.0,81.0,354.0,0.24,0.37
575929,willson contreras,STL,92.53,76.77,7.5,19,1,3,14.0,104.0,413.0,0.26,0.45
592206,nick castellanos,PHI,78.44,67.31,8.03,15,0,3,13.0,85.0,416.0,0.27,0.43
592450,aaron judge,NYY,86.38,64.89,7.37,15,1,1,37.0,119.0,455.0,0.34,0.72
592518,manny machado,SD,95.74,73.86,7.09,16,0,0,19.0,76.0,439.0,0.29,0.49
593428,xander bogaerts,SD,70.4,70.71,7.0,14,0,1,6.0,65.0,410.0,0.27,0.38
596019,francisco lindor,NYM,87.13,71.95,7.31,26,1,0,19.0,83.0,457.0,0.25,0.43
596146,max kepler,PHI,80.1,72.48,7.48,17,0,0,11.0,66.0,333.0,0.2,0.37
605137,josh bell,WSH,80.7,67.82,8.35,19,0,1,13.0,59.0,344.0,0.22,0.39
