team,wins,losses,run_diff,streak,games_played,win_pct
NYY,51,26,113,L2,77,.662
BAL,49,25,125,W2,74,.662
BOS,40,35,47,W5,75,.533
TB,36,39,-70,W2,75,.480
TOR,35,39,-40,L3,74,.473
CLE,46,26,94,W2,72,.639
KC,42,34,56,W1,76,.553
MIN,41,34,15,L2,75,.547
DET,34,40,-12,L4,74,.459
CWS,20,56,-158,L2,76,.263
SEA,44,33,11,L2,77,.571
HOU,35,40,7,W2,75,.467
TEX,34,40,-16,W1,74,.459
LAA,29,45,-77,L2,74,.392
OAK,28,49,-87,L1,77,.364
PHI,49,25,101,L1,74,.662
ATL,41,31,46,W3,72,.569
WSH,36,38,-15,L1,74,.486
NYM,35,38,-7,L1,73,.479
MIA,25,49,-115,W2,74,.338
MIL,44,31,65,L1,75,.587
STL,37,37,-38,W1,74,.500
PIT,36,38,-25,W1,74,.486
CHC,36,39,-14,W2,75,.480
CIN,35,39,10,L1,74,.473
LAD,47,30,108,W1,77,.610
SD,39,40,12,W2,79,.494
ARI,37,38,9,W1,75,.493
SF,36,40,-27,L3,76,.474
COL,26,49,-118,L1,75,.347
