team,wins,losses,run_diff,streak,games_played,win_pct
NYY,45,34,104,L2,79,.570
TB,44,35,74,W1,79,.557
TOR,42,36,-6,W1,78,.538
BOS,40,41,10,L4,81,.494
BAL,34,45,-80,L1,79,.430
DET,50,30,89,W2,80,.625
CLE,39,38,-27,L1,77,.506
KC,38,41,-25,L3,79,.481
MIN,37,42,-20,L5,79,.468
CWS,25,55,-86,L2,80,.313
HOU,46,33,47,W2,79,.582
SEA,41,37,22,W3,78,.526
LAA,39,40,-49,W2,79,.494
TEX,39,41,11,W1,80,.488
Athletics,32,49,-134,L3,81,.395
PHI,47,32,40,L1,79,.595
NYM,46,34,57,L3,80,.575
ATL,37,41,29,W2,78,.474
MIA,32,45,-88,W2,77,.416
WSH,33,47,-70,L1,80,.413
CHC,46,33,89,L3,79,.582
MIL,44,36,46,W1,80,.550
STL,44,36,41,W2,80,.550
CIN,42,38,40,W3,80,.525
PIT,32,49,-66,L1,81,.395
LAD,49,31,80,W2,80,.613
SF,44,35,44,L1,79,.557
SD,43,36,22,W1,79,.544
ARI,41,38,10,W2,79,.519
COL,18,61,-204,L1,79,.228
