team_name,avg_launch_speed,avg_bat_speed,avg_swing_length
BAL,92.20408730158731,74.05637820512821,7.210128205128204
CIN,85.91150793650793,69.28523809523809,7.013253968253967
COL,82.675,73.69642857142857,7.878571428571428
DET,84.34375,72.40922619047619,7.615674603174603
HOU,76.10839743589743,69.54134920634921,7.793174603174603
LAA,86.00444444444445,71.81236111111112,7.118888888888889
MIL,79.19722222222222,71.55337301587302,7.088055555555556
NYM,86.54910714285714,74.23465909090909,7.338287337662337
PHI,83.00142857142858,71.63261904761904,7.293333333333334
SD,87.00783549783549,71.74761904761905,7.5147619047619045
SF,90.31066666666666,70.33138888888888,7.081666666666666
STL,82.3636507936508,69.10028571428572,7.406285714285714
TEX,83.66102040816327,69.36598639455782,7.042312925170068
TOR,91.50357142857143,69.99666666666667,7.050555555555555
WSH,80.625,74.19999999999999,7.3100000000000005
