full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Kyle Gibson,562,86.37,2226.89,6.95,34,0,70.25,9.5,82.36,7.72,6
Tyler Anderson,560,84.27,2108.92,6.05,21,0,70.57,22.25,81.97,7.36,6
Andrew Heaney,468,87.3,2410.21,6.46,27,0,70.53,22.67,83.49,7.22,6
Kevin Gausman,489,90.56,2137.82,6.64,38,0,70.4,22.25,85.22,7.18,6
Ben Lively,517,85.72,1970.8,6.93,24,0,68.81,21.18,83.78,7.02,6
Sean Manaea,469,88.67,2009.04,7.2,29,0,69.46,23.06,81.38,6.98,5
Freddy Peralta,597,89.22,2305.01,6.57,42,0,68.48,23.26,80.31,7.04,6
Matt Waldron,544,83.4,1352.79,6.58,39,0,69.33,19.4,80.59,7.19,6
Ryan Feltner,503,90.77,2291.51,6.36,23,0,69.11,16.06,84.08,7.06,6
Casey Mize,495,89.55,2055.41,6.98,15,0,69.14,15.09,84.91,7.02,6
MacKenzie Gore,590,92.11,2265.03,6.99,38,0,71.38,21.59,82.57,7.24,6
Ryne Nelson,522,90.58,2194.89,6.8,17,0,68.9,20.14,83.37,6.76,6
Carmen Mlodzinski,239,91.46,2380.78,6.47,12,0,69.81,22.11,84.27,7.01,9
Andrew Abbott,564,88.41,2356.08,6.6,21,0,70.24,27.39,83.12,7.15,6
Taj Bradley,541,91.48,2152.6,6.57,39,0,69.86,21.77,84.28,6.94,6
Spencer Howard,190,88.75,2018.94,6.63,8,0,69.56,24.36,85.78,7.01,3
Ben Brown,408,92.59,2233.87,6.71,37,0,68.81,22.42,82.03,7.41,7
Brayan Bello,542,90.69,2073.71,6.38,25,0,70.19,2.61,83.05,7.42,6
Alec Marsh,554,90.04,2429.22,6.12,36,0,68.92,17.39,84.37,7.25,6
Simeon Woods Richardson,493,87.84,2289.45,6.75,21,0,69.47,21.47,81.85,7.03,6
Kyle Bradish,426,90.98,2448.35,6.55,35,0,68.73,14.05,77.46,7.24,5
Nick Nastrini,333,89.24,2269.34,6.55,11,0,70.7,25.02,85.61,7.62,4
Hunter Brown,554,91.9,2112.12,6.57,38,0,68.12,11.36,81.37,6.9,6
Gavin Stone,446,91.54,2027.71,6.64,26,0,70.05,16.68,82.48,7.36,5
