game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct
2024-09-16,MIN,CLE,PABLO LOPEZ,MATTHEW BOYD,,,,,,,,,,,,,,,,,,,,,,,84.30202380952382,69.105,6.942083333333334,82.50277777777778,69.62868181818182,7.476155844155843,46,49,-45,W2,95,0.484,47.0,49.0,-8.0,L1,96.0,0.49
2024-09-16,WSH,NYM,JAKE IRVIN,SEAN MANAEA,580.0,87.96,2034.39,6.91,48.0,0.0,67.15,22.5,80.92,6.77,6.0,551.0,90.36,2369.06,7.03,28.0,0.0,70.01,15.77,82.88,7.14,6.0,89.59654761904763,73.96142857142857,7.3653571428571425,80.77499999999999,70.06777777777778,6.902222222222222,55,42,45,L1,97,0.567,38.0,58.0,-102.0,L4,96.0,0.396
2024-09-16,LAD,ATL,YOSHINOBU YAMAMOTO,MAX FRIED,563.0,87.72,2305.43,6.62,36.0,0.0,69.78,3.6,82.21,7.17,6.0,131.0,89.54,2204.0,6.54,11.0,0.0,69.51,13.5,84.49,7.46,2.0,85.92,69.45942857142856,7.233333333333332,80.5626455026455,69.53921075837742,7.243496472663139,42,53,2,L1,95,0.442,58.0,39.0,69.0,W2,97.0,0.598
2024-09-16,PHI,MIL,RANGER SUAREZ,AARON CIVALE,421.0,86.55,2580.02,5.61,25.0,0.0,70.56,23.15,83.46,7.32,5.0,,,,,,,,,,,,88.71712962962964,69.10632275132275,7.076164021164021,82.11380952380952,71.24418367346938,7.270816326530612,56,40,81,W7,96,0.583,55.0,41.0,63.0,W1,96.0,0.573
2024-09-16,DET,KC,REESE OLSON,SETH LUGO,588.0,86.71,2543.33,6.0,38.0,0.0,69.92,13.62,80.62,7.2,6.0,50.0,89.65,2391.04,5.97,3.0,0.0,70.78,-2.54,81.65,7.47,1.0,82.14375,70.65833333333333,7.213095238095238,75.43863636363638,67.12306035234607,6.642014652014652,47,50,-28,W1,97,0.485,59.0,38.0,87.0,L4,97.0,0.608
2024-09-16,OAK,CHC,JOEY ESTES,SHOTA IMANAGA,575.0,86.5,1992.81,6.27,39.0,0.0,69.02,23.17,82.31,7.34,6.0,492.0,86.8,2318.86,5.97,23.0,0.0,69.29,28.55,81.29,7.09,6.0,81.9580550401979,68.79617346938775,6.97545918367347,,,,57,39,119,W2,96,0.594,,,,,,
2024-09-16,PIT,STL,PAUL SKENES,ANDRE PALLANTE,586.0,91.16,2312.11,6.7,31.0,0.0,69.37,4.85,82.02,7.02,6.0,469.0,93.17,2096.5,6.47,37.0,0.0,67.78,9.51,81.84,7.2,5.0,82.87257936507937,69.40393518518518,7.112592592592592,78.7095,69.0823520923521,6.711948051948052,51,46,17,W1,97,0.526,39.0,58.0,-53.0,W1,97.0,0.402
2024-09-16,ARI,COL,MERRILL KELLY,ANTONIO SENZATELA,67.0,91.19,2234.51,6.01,2.0,0.0,69.18,23.0,83.59,7.19,1.0,525.0,88.91,2342.64,6.05,26.0,0.0,71.2,16.61,85.96,7.44,6.0,80.51176190476191,70.74047619047619,7.3129841269841265,,,,22,74,-253,L2,96,0.229,47.0,50.0,5.0,W1,97.0,0.485
2024-09-16,CWS,LAA,JONATHAN CANNON,REID DETMERS,297.0,88.25,2165.74,6.24,24.0,0.0,70.02,17.27,83.69,7.39,3.0,561.0,88.74,2184.4,6.2,26.0,0.0,70.12,12.85,82.83,7.14,6.0,81.93214285714286,66.2245670995671,6.627922077922078,88.25999999999999,69.06555555555556,7.083333333333333,47,49,-62,L1,96,0.49,32.0,65.0,-98.0,L2,97.0,0.33
2024-09-16,HOU,SD,SPENCER ARRIGHETTI,YU DARVISH,205.0,86.77,2424.6,6.59,12.0,0.0,68.58,12.75,79.9,7.39,3.0,434.0,87.09,2460.95,7.02,26.0,0.0,70.21,24.16,82.48,7.28,5.0,84.5082671957672,69.33512566137567,7.23146164021164,83.85927083333334,68.1058143939394,7.078769841269842,52,44,7,L1,96,0.542,56.0,40.0,56.0,L1,96.0,0.583
