team,wins,losses,run_diff,streak,games_played,win_pct
NYY,38,19,92,W1,57,.667
BAL,35,19,69,W1,54,.648
BOS,28,28,24,L1,56,.500
TB,27,29,-49,W1,56,.482
TOR,26,29,-27,W3,55,.473
CLE,37,19,74,L1,56,.661
KC,35,22,81,W1,57,.614
MIN,30,25,2,L1,55,.545
DET,27,28,0,L1,55,.491
CWS,15,42,-127,L8,57,.263
SEA,31,26,-3,W4,57,.544
TEX,27,29,1,W3,56,.482
HOU,24,32,-8,L3,56,.429
OAK,23,34,-61,L1,57,.404
LAA,21,34,-36,L1,55,.382
PHI,39,18,93,W1,57,.684
ATL,31,22,40,L1,53,.585
WSH,25,29,-11,W1,54,.463
NYM,22,33,-37,L3,55,.400
MIA,20,37,-75,W1,57,.351
MIL,32,23,50,W1,55,.582
CHC,28,28,-8,L1,56,.500
STL,27,27,-35,W2,54,.500
PIT,26,30,-29,W1,56,.464
CIN,24,32,-9,L2,56,.429
LAD,36,22,82,W3,58,.621
SF,29,28,-19,L1,57,.509
SD,30,29,5,L1,59,.508
ARI,25,30,-4,L3,55,.455
COL,20,35,-75,W1,55,.364
